method,dim,noise,pearson,n
laziness_knn_t5,2,0.05,0.23851373918424937,50
laziness_knn_t5,2,0.1,0.06327408141880989,50
laziness_knn_t5,2,0.2,0.20450405749746195,50
laziness_knn_t5,3,0.01,0.1974633301012218,50
laziness_knn_t5,3,0.05,-0.0411609201315167,50
laziness_knn_t5,3,0.1,0.28480334991075273,50
laziness_knn_t5,3,0.2,0.22366213886406233,50
laziness_knn_t5,4,0.01,0.5316145388694621,50
laziness_knn_t5,4,0.05,0.5737912424370197,50
laziness_knn_t5,4,0.1,0.228820202032834,50
laziness_knn_t5,4,0.2,0.2278172320180709,50
laziness_knn_t5,5,0.01,0.20540312776786562,50
laziness_knn_t5,5,0.05,0.4999148784378481,50
laziness_knn_t5,5,0.1,0.2909623229114936,50
laziness_knn_t5,5,0.2,0.41002348270745753,50
laziness_knn_t5,6,0.01,0.6045191528002856,50
laziness_knn_t5,6,0.05,0.16197306748664164,50
laziness_knn_t5,6,0.1,0.3922029092106254,50
laziness_knn_t5,6,0.2,0.23801778158276302,50
orc,2,0.0,0.018956604163772085,50
orc,2,0.05,-0.015760703530815885,50
orc,2,0.1,0.05305443234584735,50
orc,2,0.2,0.10610608881882937,50
orc,3,0.01,0.18526230241691985,50
orc,3,0.05,-0.06635754520947719,50
orc,3,0.1,-0.0008656007532197704,50
orc,3,0.2,0.1823219872630118,50
orc,4,0.01,0.37359471266766,50
orc,4,0.05,0.348940799874921,50
orc,4,0.1,-0.06151982567595746,50
orc,4,0.2,0.13681142589290513,50
orc,5,0.01,0.07851891166556589,50
orc,5,0.05,0.3397907844678779,50
orc,5,0.1,0.04510398723448275,50
orc,5,0.2,0.22787576920447652,50
orc,6,0.01,0.2354719148590795,50
orc,6,0.05,-0.14865963138016133,50
orc,6,0.1,0.16159779182419287,50
orc,6,0.2,0.1321755610576784,50
spc_diffusion_t5,2,0.0,0.024073427369960286,50
spc_diffusion_t5,2,0.05,-0.17137488491203162,50
spc_diffusion_t5,2,0.1,0.01210423866625075,50
spc_diffusion_t5,2,0.2,-0.20336126448349423,50
spc_diffusion_t5,3,0.01,0.1170417432604358,50
spc_diffusion_t5,3,0.05,0.027866311187874464,50
spc_diffusion_t5,3,0.1,-0.01657373556947456,50
spc_diffusion_t5,3,0.2,0.16220222004745496,50
spc_diffusion_t5,4,0.01,,50
spc_diffusion_t5,4,0.05,,50
spc_diffusion_t5,4,0.1,,50
spc_diffusion_t5,4,0.2,,50
spc_diffusion_t5,5,0.01,,50
spc_diffusion_t5,5,0.05,,50
spc_diffusion_t5,5,0.1,,50
spc_diffusion_t5,5,0.2,,50
spc_diffusion_t5,6,0.01,,50
spc_diffusion_t5,6,0.05,,50
spc_diffusion_t5,6,0.1,,50
spc_diffusion_t5,6,0.2,,50
spc_hop,2,0.0,0.3735000693233682,50
spc_hop,2,0.05,-0.03821335372759781,50
spc_hop,2,0.1,-0.06933533651205004,50
spc_hop,2,0.2,-0.07092753049177529,50
spc_hop,3,0.01,0.11393385064983799,50
