instance,method,score,score_std,err,name,dim,noise,m,ks_true
792,se_tau1,-0.23204292356967926,0.0038754045963287354,,d6-c1-n0.01-m12,6,0.01,12,-38.33381100352402
792,se_tau_auto,-3.1618125438690186,0.017251253128051758,,d6-c1-n0.01-m12,6,0.01,12,-38.33381100352402
792,se_kmetric_t,-7.633501871221368,0.009003185738499564,,d6-c1-n0.01-m12,6,0.01,12,-38.33381100352402
792,w1_spread,-140.91636707312998,0.4346974813730924,,d6-c1-n0.01-m12,6,0.01,12,-38.33381100352402
792,w2_spread,-146.70084902978388,0.505382199628059,,d6-c1-n0.01-m12,6,0.01,12,-38.33381100352402
792,se_multiscale,0.4542311728000641,0.008883237838745117,,d6-c1-n0.01-m12,6,0.01,12,-38.33381100352402
