instance,method,score,score_std,err,name,dim,noise,m,ks_true
663,se_tau1,-0.29843470454216003,0.006892353296279907,,d5-c1-n0.01-m3,5,0.01,3,2.1789181931808583
663,se_tau_auto,-2.9085015058517456,0.198844313621521,,d5-c1-n0.01-m3,5,0.01,3,2.1789181931808583
663,se_kmetric_t,-7.558196002433363,0.002432086521149124,,d5-c1-n0.01-m3,5,0.01,3,2.1789181931808583
663,w1_spread,-133.58591683713414,0.14049686169764186,,d5-c1-n0.01-m3,5,0.01,3,2.1789181931808583
663,w2_spread,-140.01346982728742,0.12371727378808828,,d5-c1-n0.01-m3,5,0.01,3,2.1789181931808583
663,se_multiscale,0.5213416814804077,0.0018616318702697754,,d5-c1-n0.01-m3,5,0.01,3,2.1789181931808583
