instance,method,score,score_std,err,name,dim,noise,m,ks_true
664,se_tau1,-0.32246482372283936,0.0023202598094940186,,d5-c1-n0.01-m4,5,0.01,4,-20.746348774718008
664,se_tau_auto,-3.3854578733444214,0.03709065914154053,,d5-c1-n0.01-m4,5,0.01,4,-20.746348774718008
664,se_kmetric_t,-7.47435425546873,0.003388541980581472,,d5-c1-n0.01-m4,5,0.01,4,-20.746348774718008
664,w1_spread,-133.0594697136308,0.07366705465936718,,d5-c1-n0.01-m4,5,0.01,4,-20.746348774718008
664,w2_spread,-139.69183570957796,0.06246378322694568,,d5-c1-n0.01-m4,5,0.01,4,-20.746348774718008
664,se_multiscale,0.44442473351955414,0.002993568778038025,,d5-c1-n0.01-m4,5,0.01,4,-20.746348774718008
