instance,method,score,score_std,err,name,dim,noise,m,ks_true
428,se_tau1,-0.5418069958686829,0.0067026615142822266,,d3-c1-n0.01-m8,3,0.01,8,-4.470633486317453
428,se_tau_auto,-4.2295920848846436,0.17903494834899902,,d3-c1-n0.01-m8,3,0.01,8,-4.470633486317453
428,se_kmetric_t,-6.622934296182212,0.0015838529308016547,,d3-c1-n0.01-m8,3,0.01,8,-4.470633486317453
428,w1_spread,-106.92410898960662,0.03999629005651428,,d3-c1-n0.01-m8,3,0.01,8,-4.470633486317453
428,w2_spread,-115.33895973064512,0.06173080972533285,,d3-c1-n0.01-m8,3,0.01,8,-4.470633486317453
428,se_multiscale,0.5315929055213928,0.0035842061042785645,,d3-c1-n0.01-m8,3,0.01,8,-4.470633486317453
