method,dim,noise,pearson,n
hickock,2,0.01,0.7083817171882871,50
hickock,2,0.05,0.8237342144281601,50
hickock,2,0.1,0.7356026953198767,50
hickock,2,0.2,0.6808189056253313,50
hickock,3,0.01,0.4020971085376988,50
hickock,3,0.05,0.4809020516542989,50
hickock,3,0.1,0.6284914991666153,50
hickock,3,0.2,0.4472159508196141,50
hickock,4,0.01,0.2824191809378836,50
hickock,4,0.05,0.4108098770791412,50
hickock,4,0.1,0.3380310434080444,50
hickock,4,0.2,0.4686793772551989,50
hickock,5,0.01,-0.2929682626937127,50
hickock,5,0.05,0.0486938257532294,50
hickock,5,0.1,0.1406948234388624,50
hickock,5,0.2,-0.2316936742278416,50
hickock,6,0.01,0.0984525140907658,50
hickock,6,0.05,-0.0853485076508381,50
hickock,6,0.1,-0.0829067609024055,50
hickock,6,0.2,0.0976013072191539,50
laziness_adaptive_t5,2,0.01,0.0639118330522529,50
laziness_adaptive_t5,2,0.05,-0.2753056010706736,50
laziness_adaptive_t5,2,0.1,0.1354107232762164,50
laziness_adaptive_t5,2,0.2,0.1996175994170343,50
laziness_adaptive_t5,3,0.01,0.0640754466872138,50
laziness_adaptive_t5,3,0.05,0.1223398706431084,50
laziness_adaptive_t5,3,0.1,0.2338080568399119,50
laziness_adaptive_t5,3,0.2,0.2191059996244528,50
laziness_adaptive_t5,4,0.01,0.3392009828019829,50
laziness_adaptive_t5,4,0.05,0.2036517848501826,50
laziness_adaptive_t5,4,0.1,0.3151356828730193,50
laziness_adaptive_t5,4,0.2,0.504791601913175,50
laziness_adaptive_t5,5,0.01,0.1994867005630959,50
laziness_adaptive_t5,5,0.05,0.3257256761584237,50
laziness_adaptive_t5,5,0.1,0.2740809555540763,50
laziness_adaptive_t5,5,0.2,-0.0106220608602177,50
laziness_adaptive_t5,6,0.01,0.6393512097192398,50
laziness_adaptive_t5,6,0.05,-0.1785693964345436,50
laziness_adaptive_t5,6,0.1,0.5385818243356676,50
laziness_adaptive_t5,6,0.2,0.55070612577653,50
laziness_knn_t5,2,0.01,0.076442990975467,50
laziness_knn_t5,2,0.05,-0.2702735395871596,50
laziness_knn_t5,2,0.1,0.1808526451259275,50
laziness_knn_t5,2,0.2,0.2162700895610035,50
laziness_knn_t5,3,0.01,0.0754089815220528,50
laziness_knn_t5,3,0.05,0.1451839881556989,50
laziness_knn_t5,3,0.1,0.2295623821288823,50
laziness_knn_t5,3,0.2,0.2202076468641539,50
laziness_knn_t5,4,0.01,0.391933587928251,50
laziness_knn_t5,4,0.05,0.1955504945093096,50
laziness_knn_t5,4,0.1,0.3479064569379458,50
laziness_knn_t5,4,0.2,0.50737116781892,50
laziness_knn_t5,5,0.01,0.2065438446110609,50
laziness_knn_t5,5,0.05,0.3373609410010047,50
laziness_knn_t5,5,0.1,0.3270627767818014,50
laziness_knn_t5,5,0.2,0.0302392502188069,50
laziness_knn_t5,6,0.01,0.6415006538056133,50
laziness_knn_t5,6,0.05,-0.1808445770843551,50
laziness_knn_t5,6,0.1,0.5542564595754608,50
laziness_knn_t5,6,0.2,0.565730974923434,50
orc,2,0.01,0.0817995606524082,50
orc,2,0.05,-0.2507593841793978,50
orc,2,0.1,0.1045873874656433,50
orc,2,0.2,0.0133601862276143,50
orc,3,0.01,0.0432346634312163,50
orc,3,0.05,0.0729363949837483,50
orc,3,0.1,0.079180188448813,50
orc,3,0.2,0.0330435832404417,50
orc,4,0.01,0.1168980284816689,50
orc,4,0.05,0.0049595776093363,50
orc,4,0.1,0.0801960065880019,50
orc,4,0.2,0.4381609563279251,50
orc,5,0.01,0.0979875004239239,50
orc,5,0.05,0.1442096395665253,50
orc,5,0.1,0.0328557855989108,50
orc,5,0.2,0.0386682258622318,50
orc,6,0.01,0.4189481115122497,50
orc,6,0.05,-0.2646247542888852,50
orc,6,0.1,0.3975054468421165,50
orc,6,0.2,0.3188426675266286,50
spc_diffusion_t5,2,0.01,-0.1239189928029278,50
spc_diffusion_t5,2,0.05,0.0510841675331655,50
spc_diffusion_t5,2,0.1,-0.0513559877782834,50
spc_diffusion_t5,2,0.2,0.0126253240425044,50
spc_diffusion_t5,3,0.01,0.0391057584494564,50
spc_diffusion_t5,3,0.05,-0.1611658902301413,50
spc_diffusion_t5,3,0.1,-0.0783661427245553,50
spc_diffusion_t5,3,0.2,-0.1358471363539497,50
spc_diffusion_t5,4,0.01,,50
spc_diffusion_t5,4,0.05,,50
spc_diffusion_t5,4,0.1,,50
spc_diffusion_t5,4,0.2,,50
spc_diffusion_t5,5,0.01,,50
spc_diffusion_t5,5,0.05,,50
spc_diffusion_t5,5,0.1,,50
spc_diffusion_t5,5,0.2,,50
spc_diffusion_t5,6,0.01,,50
spc_diffusion_t5,6,0.05,,50
spc_diffusion_t5,6,0.1,,50
spc_diffusion_t5,6,0.2,,50
spc_hop,2,0.01,-0.2606323006497855,50
spc_hop,2,0.05,0.026978618931478,50
spc_hop,2,0.1,0.0727810483823298,50
spc_hop,2,0.2,0.1124661280017155,50
spc_hop,3,0.01,0.0866333683900427,50
spc_hop,3,0.05,0.1038450814886598,50
spc_hop,3,0.1,0.1032165953323678,50
spc_hop,3,0.2,0.0178371105988587,50
spc_hop,4,0.01,,50
spc_hop,4,0.05,,50
spc_hop,4,0.1,,50
spc_hop,4,0.2,,50
spc_hop,5,0.01,,50
spc_hop,5,0.05,,50
spc_hop,5,0.1,,50
spc_hop,5,0.2,,50
spc_hop,6,0.01,,50
spc_hop,6,0.05,,50
spc_hop,6,0.1,,50
spc_hop,6,0.2,,50
successor_entropy,2,0.01,0.611,15
successor_entropy,2,0.05,0.68,15
successor_entropy,2,0.1,0.474,15
successor_entropy,2,0.2,0.808,15
successor_entropy,3,0.01,0.0725376308299479,50
successor_entropy,3,0.05,0.2205994944764238,50
successor_entropy,3,0.1,0.2148229013706621,50
successor_entropy,3,0.2,0.2339169752623583,50
successor_entropy,4,0.01,0.3599128503142792,50
successor_entropy,4,0.05,0.3989519136606044,50
successor_entropy,4,0.1,0.3706511372335609,50
successor_entropy,4,0.2,0.3682201236076544,50
successor_entropy,5,0.01,-0.2243153449201244,50
successor_entropy,5,0.05,0.2612094236099357,50
successor_entropy,5,0.1,0.5011653526574634,50
successor_entropy,5,0.2,0.2932263508305422,50
successor_entropy,6,0.01,0.8182400982485328,50
successor_entropy,6,0.05,0.4255357479961091,50
successor_entropy,6,0.1,0.6840584473312186,50
