mani,wseed,nV,fit_s,r_exact_ks,r_ba_H,r_ba_ks,r_cap_H,r_cap_ks,mean_ba,mean_H
necklace,0,1400,58.3,0.9140069980819941,0.448440871108455,0.42107853262325484,0.019404680795520324,0.015831310224604073,5.898493205611321,6.323855026729583
necklace,1,1400,57.8,0.9005693973250123,0.5691417940827332,0.5592581616792905,0.10927853306571327,0.05615618806195502,5.895670093705237,6.344993972397947
dumbbell,0,1400,57.5,0.3611534444219989,0.59686152326585,-0.016175136355270583,-0.39372841874866316,-0.19990498754364308,5.914119655225829,6.2969338351657
dumbbell,1,1400,56.8,0.5861520614513653,0.6564422388063988,0.27086098817808285,-0.22014975052269206,-0.2943371109508409,5.874075888379132,6.302676825612352
