d,wseed,sigma,r_bin500,r_bin1500,r_knn,r_nystrom,r_vmi,r_td,t
3,0,0.05,0.7955131374190523,0.8413810816931107,0.899688581362645,0.805868466338745,0.41495654470687104,0.4568557035203438,162.2
3,0,0.15,0.738969643218677,0.7136899375907761,0.6354215335251002,0.5300537072963238,0.5480441113357162,0.6290455214951298,163.2
3,1,0.05,0.798005351740223,0.8357216349018892,0.8604092555930333,0.7815595833893009,0.6705012613855984,0.680924913703159,163.6
3,1,0.15,0.5973179136661946,0.6430371841265518,0.6101781730586413,0.47282055137980344,0.6106505526922519,0.6783049687329591,165.1
4,0,0.05,0.4113333929392368,0.8210329841804324,0.6389952439482882,0.7580421649993488,0.5303718135552463,0.6268306991876716,162.7
4,0,0.15,0.3977761613338062,0.5802808009136422,0.5713533640361388,0.1392466135362202,0.5988492395010276,0.6275853149936359,166.7
4,1,0.05,0.6603330569957888,0.7133612662218223,0.6795432746429455,0.7042785715199564,0.4660449516834527,0.5928427898157478,164.0
4,1,0.15,0.4712899403292162,0.5388297274729634,0.48632944949482515,-0.3550966699582545,0.6063975686649692,0.6520456807813614,164.6
