mani,d,wseed,nV,tps,fit_s,r_exact_ks,r_traceH0_ks,r_traceH0_I,r_bound_I,r_plugin_I,r_bound_ks,r_plugin_ks,mean_bound,mean_I_exact
necklace,3,0,1400,45.74285714285714,10.227346181869507,0.9377561232779903,0.9124882988495886,0.928416215625683,-0.005693033064619338,0.22662556396977998,0.1005058203824757,0.08799836295371875,-0.6794246994970706,0.2497651883225378
necklace,3,1,1400,45.74285714285714,8.84264612197876,0.9229320480969795,0.8874334864446483,0.9660090698509447,0.6219117334836429,-0.07544704485321793,0.6895006565301285,-0.17611585156044657,-0.7135647862674452,0.24196507138978207
dumbbell,3,0,1400,45.74285714285714,9.456743478775024,0.32886835642992474,0.34980571623309975,0.9617250332844703,0.3145384169729336,-0.17685747848977174,0.2074932427809417,-0.25724473323810015,-0.6617433719411002,0.27930411687955775
dumbbell,3,1,1400,45.74285714285714,9.417707443237305,0.5132381793168097,0.35486075130654854,0.9326606237585241,0.3275951560446325,0.020287284800878658,-0.12192017774141238,0.3607085610673203,-0.7227129831129163,0.2761765416374286
