d,wseed,config,r_ens,r_seed_mean,r_seed_min,r_seed_max,t
3,0,vmi_e150_z64,0.2114592737836479,0.19590635877497836,0.15645013149433307,0.24319261288312846,255.6
3,0,vmi_e150_z128,0.2604655501433253,0.24393835005831196,0.17842202469173546,0.2941678529380163,255.0
3,0,td_e300_z64,0.2117840144294897,0.19391477984071465,0.15879051214090958,0.23988616371956917,75.7
3,0,td_e300_z128,0.22709940177373866,0.20691384056793008,0.1643219239320306,0.25607093112796275,75.4
3,1,vmi_e150_z64,0.5117383035321946,0.47117656300671223,0.41117696722491,0.5414984038667174,255.7
3,1,vmi_e150_z128,0.6018482509612746,0.5645483272473928,0.5355232485043757,0.5769960417137009,256.1
3,1,td_e300_z64,0.6021328652413895,0.5325916574632895,0.4001423001856041,0.6167992235491468,77.2
3,1,td_e300_z128,0.6225527620990994,0.549092683405041,0.4192071486468031,0.6212183261645992,77.9
4,0,vmi_e150_z64,0.35010331074162393,0.30935410350586634,0.25965175537090224,0.37768945573312285,253.3
4,0,vmi_e150_z128,0.3577808762648771,0.32396531807675544,0.2782218111570755,0.40519657673257126,255.2
4,0,td_e300_z64,0.3558459737919965,0.3144816923785342,0.2264007887714744,0.4059543076673649,75.2
4,0,td_e300_z128,0.38906924177568847,0.35000409696956436,0.25792158296984985,0.47894882978292996,75.4
4,1,vmi_e150_z64,0.47579877553897876,0.433026605167096,0.3479849832986554,0.5409569167377741,259.7
4,1,vmi_e150_z128,0.4700930457673268,0.43102403275981344,0.34809184707970375,0.49627244538917425,257.9
4,1,td_e300_z64,0.6029244783515058,0.5552046267684407,0.4855282544313746,0.6417663948070937,76.6
4,1,td_e300_z128,0.6202790857974969,0.5740009787457221,0.5109960490868587,0.6422350657540716,74.1
