wseed,eta_max,nV,r_sent_ks,r_I1_ks,r_traceH0_ks,r_v2_ks,r_v2_I1,r_I1_sent
0,0.0,1400,0.9140069980819953,0.9040384932134296,0.9165321404877045,-0.47570695710250116,-0.4956696418234716,-0.9904242741012306
0,0.4,1400,0.7954785723234703,0.48356951450543434,0.7918761241426109,-0.6721078464162736,-0.08871582733842381,-0.852351657096609
0,0.8,1400,0.5248623898884156,0.24639263627277608,0.5309685086267533,-0.5667149293140161,0.0649527996030985,-0.859700091085616
1,0.0,1400,0.9005693973250111,0.9146688641002731,0.8743087869013657,-0.5352819675583211,-0.6058045339348661,-0.9794724579782105
1,0.4,1400,0.777200219328952,0.33389080009401595,0.7762872165169008,-0.6610062217353624,0.13285463872868186,-0.7705912436354856
1,0.8,1400,0.46587896172979637,-0.011177626655009848,0.4431507798871094,-0.7085574724708689,0.05991220506122852,-0.8099099711007125
