mani,wseed,T,nV,tps,cov,r_exact_ks,r_traceH0_ks,r_traceH0_I,r_vmi_ks,r_vmi_I
necklace,0,70,1187,2.4,0.85,0.9088860119682894,0.392533391629641,0.3479700330413588,0.022318978748370077,0.014905589124638047
necklace,0,170,1385,4.9,0.99,0.9104938197936397,0.7057989166815183,0.7908469258165514,0.40154207058044994,0.3862159297530573
necklace,0,375,1400,10.7,1.0,0.9140069980819946,0.905947655252137,0.9390660124127997,0.4958119581103238,0.5108275018828033
necklace,0,715,1400,20.5,1.0,0.9140069980819946,0.9124468910534149,0.9761366110298684,0.7020180983044216,0.6613725508053854
necklace,0,1600,1400,45.7,1.0,0.9140069980819946,0.9122361407998094,0.9848141170911766,0.8815547798051637,0.8996993721517692
necklace,1,70,1185,2.4,0.85,0.8892625580781068,0.3152004352476257,0.280390694224095,-0.054161136905432825,0.05526695345792325
necklace,1,170,1385,4.9,0.99,0.9003085509680729,0.7037663139080489,0.7934747675023939,0.1692210481992804,0.3040668198462926
necklace,1,375,1400,10.7,1.0,0.9005693973250107,0.8070388061270363,0.9333342350261722,0.6358147689433303,0.7343025232720771
necklace,1,715,1400,20.5,1.0,0.9005693973250107,0.8464051372280457,0.9650286698164957,0.632593987422737,0.6903421759534557
necklace,1,1600,1400,45.7,1.0,0.9005693973250107,0.89605296691433,0.9902564376464108,0.8780607037039123,0.8839437387009353
dumbbell,0,70,1166,2.4,0.83,0.39489141298863456,-0.013791095907015355,0.1330190987325049,-0.23027467558059134,-0.08606830584252141
dumbbell,0,170,1376,5.0,0.98,0.3636200283681111,0.12840484103183936,0.6343136027663449,0.26095389909441474,0.49225385130720417
dumbbell,0,375,1400,10.7,1.0,0.36115344442199804,0.33050071600833947,0.9591937084109816,0.2805066454928752,0.5976375100838649
dumbbell,0,715,1400,20.5,1.0,0.36115344442199804,0.3549757962781621,0.9734939476882087,0.34718751535044373,0.8452094657237721
dumbbell,0,1600,1400,45.7,1.0,0.36115344442199804,0.37236329400242557,0.9816428312486942,0.40072711996645516,0.9287495775478832
dumbbell,1,70,1203,2.4,0.86,0.5521291180766841,0.34957954839620237,0.45587144829293913,0.1336021184784869,0.29511664898289003
dumbbell,1,170,1396,4.9,1.0,0.5769288916776449,0.558193145865136,0.6968293287413516,0.4415787529036009,0.29922173382114164
dumbbell,1,375,1400,10.7,1.0,0.5861520614513692,0.5873241281296645,0.9524512020121957,0.35616779422584716,0.48699594085109066
dumbbell,1,715,1400,20.5,1.0,0.5861520614513692,0.5649910458093149,0.9726128575738624,0.46223302237703495,0.7116478333782956
dumbbell,1,1600,1400,45.7,1.0,0.5861520614513692,0.5303173326865175,0.9850198218892077,0.41778724471388295,0.8526103097498496
