mani,d,wseed,gamma,nV,fit_s,r_exact_ks,r_traceH0_I,r_traceH0_ks,r_bound_I,r_bound_ks,r_plugin_I,r_plugin_ks
necklace,3,0,0.9,1400,75.9,0.9140069980819946,0.9848141170911766,0.9122361407998094,0.8996993721517692,0.8815547798051637,0.683091406994458,0.5626577005371167
necklace,3,0,0.97,1400,72.9,0.9142524755295603,0.9326735376424835,0.9030471180016553,0.5418714761606713,0.6475845550045203,0.2295067048107475,0.05775444925925392
necklace,3,1,0.9,1400,74.5,0.9005693973250107,0.9902564376464108,0.89605296691433,0.8839437387009353,0.8780607037039123,0.46162425158644416,0.35516179526880254
necklace,3,1,0.97,1400,70.8,0.8994024757122627,0.9648709552009324,0.8632992185590237,0.6507719607901506,0.6553740614582133,-0.12169936081933891,-0.19674728955275536
dumbbell,3,0,0.9,1400,71.6,0.36115344442199804,0.9816428312486942,0.37236329400242557,0.9287495775478832,0.40072711996645516,0.5000439194253679,0.0016930510610242977
dumbbell,3,0,0.97,1400,70.8,0.2783882405902137,0.9693214690370551,0.29228667958962545,0.7455806893479989,0.3258554893479617,0.2820736186718833,-0.21813918144281702
dumbbell,3,1,0.9,1400,71.4,0.5861520614513692,0.9850198218892077,0.5303173326865175,0.8526103097498496,0.41778724471388295,0.6174431553613975,0.5398837062174897
dumbbell,3,1,0.97,1400,70.3,0.4805764365290557,0.9477974629598612,0.3341908625492441,0.597482040296293,0.11811108519748288,0.2544921217078052,0.3047958547765478
