d,wseed,gamma_c,r_oracle,r_bin500,r_bin1500,r_bin4000,r_knn,r_nystrom,r_vmi,t_vmi,r_td,t_td
3,0,0.9333,0.9351579373463668,0.8381150817986918,0.8068997517208234,0.8086815110310897,0.9110989488452887,0.7720518944031679,0.2024854106614372,16.9,0.2648400824721049,18.8
3,1,0.9333,0.9351579373463668,0.7798149488881412,0.8314756061421877,0.7026885991539118,0.897102617522593,0.7845615524237642,0.6115551603380356,16.2,0.6362577374772711,19.2
4,0,0.9111,0.9051775178412591,0.5415839859014454,0.7634906361309143,0.7547117632518521,0.7259916491147533,0.8029036501350653,0.24433014011644988,15.6,0.47414720852662834,19.7
4,1,0.9111,0.9051775178412591,0.6738397888810719,0.7723507067638762,0.7167505169340017,0.6096152833395194,0.6361678954138681,0.4550822449365371,16.4,0.6134227196303559,19.5
