dim,dataset,n_traj,ks_true,variant,score
2,plane,200,0.0,shortcut_odd_b1.5,321.3674486876201
2,plane,200,0.0,shortcut_even_b1.5,2862424427.0577555
2,plane,200,0.0,shortcut_odd_b2.5,942.0076849705954
2,plane,200,0.0,shortcut_even_b2.5,8645686350.43371
2,sphere,200,2.0,shortcut_odd_b1.5,315.6117157118142
2,sphere,200,2.0,shortcut_even_b1.5,648984411.3577942
2,sphere,200,2.0,shortcut_odd_b2.5,718.4921968029882
2,sphere,200,2.0,shortcut_even_b2.5,3985627314.611221
2,saddle,200,-8.0,shortcut_odd_b1.5,375.10471585781687
2,saddle,200,-8.0,shortcut_even_b1.5,2517467568.626355
2,saddle,200,-8.0,shortcut_odd_b2.5,985.8753925487268
2,saddle,200,-8.0,shortcut_even_b2.5,7446839397.856268
4,plane,200,0.0,shortcut_odd_b1.5,510.5736444747616
4,plane,200,0.0,shortcut_even_b1.5,-125768572.97641072
4,plane,200,0.0,shortcut_odd_b2.5,843.8953623037684
4,plane,200,0.0,shortcut_even_b2.5,2593922074.792417
4,sphere,200,12.0,shortcut_odd_b1.5,690.8933356429005
4,sphere,200,12.0,shortcut_even_b1.5,-240257704.23040065
4,sphere,200,12.0,shortcut_odd_b2.5,908.054514686268
4,sphere,200,12.0,shortcut_even_b2.5,3969012305.4814544
4,saddle,200,-16.0,shortcut_odd_b1.5,535.1745090259378
4,saddle,200,-16.0,shortcut_even_b1.5,-117296175.2286038
4,saddle,200,-16.0,shortcut_odd_b2.5,721.9260386604049
4,saddle,200,-16.0,shortcut_even_b2.5,1653314067.7098556
6,plane,200,0.0,shortcut_odd_b1.5,642.1344261072612
6,plane,200,0.0,shortcut_even_b1.5,-331539990.36703074
6,plane,200,0.0,shortcut_odd_b2.5,934.6411291126562
6,plane,200,0.0,shortcut_even_b2.5,2009685828.14182
6,sphere,200,30.0,shortcut_odd_b1.5,1162.6739144615408
6,sphere,200,30.0,shortcut_even_b1.5,-1546889145.4448998
6,sphere,200,30.0,shortcut_odd_b2.5,
6,sphere,200,30.0,shortcut_even_b2.5,
6,saddle,200,-24.0,shortcut_odd_b1.5,653.5685246803026
6,saddle,200,-24.0,shortcut_even_b1.5,-393680351.3562374
6,saddle,200,-24.0,shortcut_odd_b2.5,896.5657613138297
6,saddle,200,-24.0,shortcut_even_b2.5,669172311.8536731
2,plane,50,0.0,shortcut_odd_b1.5,335.97219949412346
2,plane,50,0.0,shortcut_even_b1.5,1059161473.5801055
2,plane,50,0.0,shortcut_odd_b2.5,800.8395837195919
2,plane,50,0.0,shortcut_even_b2.5,3736988911.75634
2,sphere,50,2.0,shortcut_odd_b1.5,298.03315135792343
2,sphere,50,2.0,shortcut_even_b1.5,176169035.78579634
2,sphere,50,2.0,shortcut_odd_b2.5,501.2855478230975
2,sphere,50,2.0,shortcut_even_b2.5,1264476676.8892393
2,saddle,50,-8.0,shortcut_odd_b1.5,254.2794565917141
2,saddle,50,-8.0,shortcut_even_b1.5,597972442.6372966
2,saddle,50,-8.0,shortcut_odd_b2.5,589.3327004751606
2,saddle,50,-8.0,shortcut_even_b2.5,1940728209.6222205
4,plane,50,0.0,shortcut_odd_b1.5,331.680250612492
4,plane,50,0.0,shortcut_even_b1.5,-36860871.760496415
4,plane,50,0.0,shortcut_odd_b2.5,668.3125084777212
4,plane,50,0.0,shortcut_even_b2.5,747894162.499345
4,sphere,50,12.0,shortcut_odd_b1.5,612.0523064635822
4,sphere,50,12.0,shortcut_even_b1.5,-153997006.78670445
4,sphere,50,12.0,shortcut_odd_b2.5,717.881501730569
4,sphere,50,12.0,shortcut_even_b2.5,1280206469.519282
4,saddle,50,-16.0,shortcut_odd_b1.5,458.8899794759709
4,saddle,50,-16.0,shortcut_even_b1.5,-77452518.78047867
4,saddle,50,-16.0,shortcut_odd_b2.5,605.790572958553
4,saddle,50,-16.0,shortcut_even_b2.5,591725251.8880903
6,plane,50,0.0,shortcut_odd_b1.5,534.621621517245
6,plane,50,0.0,shortcut_even_b1.5,-204792156.2746917
6,plane,50,0.0,shortcut_odd_b2.5,775.6780572957493
6,plane,50,0.0,shortcut_even_b2.5,432967899.68482447
6,sphere,50,30.0,shortcut_odd_b1.5,784.9259583345586
6,sphere,50,30.0,shortcut_even_b1.5,-578436298.9636145
6,sphere,50,30.0,shortcut_odd_b2.5,
6,sphere,50,30.0,shortcut_even_b2.5,
6,saddle,50,-24.0,shortcut_odd_b1.5,478.4354754347824
6,saddle,50,-24.0,shortcut_even_b1.5,-197905913.59373736
6,saddle,50,-24.0,shortcut_odd_b2.5,700.4700564938488
6,saddle,50,-24.0,shortcut_even_b2.5,66765367.56642497
