instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac
10,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.03230740995515953,0.0
74,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.014107784561452244,1.0
138,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,0.0540054877808365,1.0
202,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.38653320525271884,0.0
266,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.46251575546030727,1.0
360,colosseum,,d2-c1-n0.1-m0,2,0.1,0,,-0.27730828678506325,3000,0.022387371724850932,0.0
484,colosseum,,d3-c1-n0.1-m4,3,0.1,4,,-9.95300009216142,3000,-0.07579411189177793,0.725
608,colosseum,,d4-c1-n0.1-m8,4,0.1,8,,5.924945353387931,3000,-0.16161983930919957,0.0625
732,colosseum,,d5-c1-n0.1-m12,5,0.1,12,,-36.76476047112881,3000,-0.22784079301610433,1.0
871,colosseum,,d6-c1-n0.2-m1,6,0.2,1,,0.935435246704639,3000,0.26465938383682025,1.0
