n_points,dim,rep,err,kappa_plus,frac
2000,2,12,,-0.09104396051381064,0.0
2000,3,14,,0.019176852409114445,1.0
2000,4,16,,0.07449941881389321,1.0
2000,5,18,,0.28968487214576044,1.0
2000,6,20,,0.4340655036966476,1.0
3000,2,22,,0.031242569373634982,0.0
3000,3,24,,-0.06024531663956478,0.925
3000,4,26,,-0.02242711484568316,0.975
3000,5,28,,0.17375028002623844,1.0
