n_points,dim,rep,err,kappa_plus,frac,ent,t_ent
2000,2,5,,0.00571422376599115,0.0,5.621865749359131,5
2000,3,7,,0.018213610884369097,1.0,5.267177104949951,1
2000,4,9,,0.11514053536919323,1.0,6.37435245513916,1
2000,5,11,,0.2799791892699987,1.0,7.257768154144287,1
2000,6,13,,0.4561835200111874,1.0,7.439885139465332,1
3000,2,15,,-0.02754746956797792,0.0,6.0976948738098145,8
3000,3,17,,-0.18917036275305668,0.95,5.053782939910889,1
3000,4,19,,-0.0700297189272667,0.9875,6.542855739593506,1
3000,5,21,,0.09832744760207206,1.0,7.463308811187744,1
3000,6,23,,0.09777211344937888,1.0,7.730138301849365,1
