instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
4,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.1544918259495402,0.0125,5.383716106414795,4
68,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.09603955932152106,1.0,4.901240825653076,1
132,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,0.04358664025096527,1.0,6.793763637542725,1
196,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.44831296576348567,0.0,6.649122714996338,1
260,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.4331177489396529,1.0,7.436771392822266,1
339,colosseum,,d2-c1-n0.05-m9,2,0.05,9,,-11.98291658411206,3000,-0.14994300822615,0.0,6.009420394897461,5
463,colosseum,,d3-c1-n0.05-m13,3,0.05,13,,1.5260272664429309,3000,-0.04612419524072779,0.2875,5.429996490478516,1
602,colosseum,,d4-c1-n0.1-m2,4,0.1,2,,29.480145418186098,3000,-0.19710838320693796,0.0375,6.332345485687256,1
726,colosseum,,d5-c1-n0.1-m6,5,0.1,6,,-27.36501286887357,3000,-0.18185235235482636,1.0,6.9824395179748535,1
850,colosseum,,d6-c1-n0.1-m10,6,0.1,10,,36.32813350240218,3000,0.7131301209374508,0.0,6.9797258377075195,1
