n_points,dim,rep,err,kappa_plus,frac,ent,t_ent
2000,2,11,,-0.012012643792414207,0.0,5.640806674957275,5
2000,3,13,,0.013764364930924908,1.0,5.139882564544678,1
2000,4,15,,0.05005785317222258,0.9625,6.458000183105469,1
2000,5,17,,0.32612472089031286,1.0,7.241990566253662,1
2000,6,19,,0.46474066273092446,1.0,7.404676914215088,1
3000,2,21,,-0.010491392343670955,0.0,6.170765399932861,9
3000,3,23,,-0.16630958038198315,0.975,5.1194329261779785,1
3000,4,25,,0.012961592727042962,1.0,6.58916711807251,1
3000,5,27,,0.18876782913390072,1.0,7.481050968170166,1
3000,6,29,,0.2995722600467129,1.0,7.787771701812744,1
