instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac
26,sadspheres,,2-Plane,2,0.0,,Plane,0.0,2000,-0.016167707817409296,0.0
90,sadspheres,,3-Saddle,3,0.0,,Saddle,-8.0,2000,0.04672703168495691,1.0
154,sadspheres,,4-Sphere,4,0.0,,Sphere,2.0,2000,0.3164395999952566,0.0
218,sadspheres,,5-Plane,5,0.0,,Plane,0.0,2000,0.389792743875363,1.0
282,sadspheres,,6-Saddle,6,0.0,,Saddle,-24.0,2000,0.5375865244088988,1.0
391,colosseum,,d2-c1-n0.2-m1,2,0.2,1,,-11.107299817390821,3000,-0.09226482394692441,0.1125
515,colosseum,,d3-c1-n0.2-m5,3,0.2,5,,0.008958082390929434,3000,-0.09441263083509366,0.2
639,colosseum,,d4-c1-n0.2-m9,4,0.2,9,,-57.772627160556176,3000,-0.2978856711573984,1.0
763,colosseum,,d5-c1-n0.2-m13,5,0.2,13,,-28.47551290508757,3000,-0.2026645698727066,1.0
