n_points,dim,rep,err,kappa_plus,frac,ent,t_ent
2000,2,26,,-0.019247774017776442,0.0,5.583566665649414,5
2000,3,28,,-0.02702950073486904,0.9875,5.046596527099609,1
2000,5,0,,0.2754989606627911,1.0,7.246018886566162,1
2000,6,2,,0.4190230388916215,1.0,7.4292449951171875,1
3000,2,4,,0.008562337329492131,0.0,6.108302116394043,9
3000,3,6,,-0.12115093952428747,0.9625,5.107490062713623,1
3000,4,8,,-0.07945734101719008,1.0,6.565177917480469,1
3000,5,10,,0.224987977921325,1.0,7.450465679168701,1
3000,6,12,,0.24541860703011278,1.0,7.758761882781982,1
