n_points,dim,rep,err,kappa_plus,frac
2000,2,10,,-0.01890412979542197,0.0875
2000,3,12,,-0.01978987549498616,1.0
2000,4,14,,0.12064830629242149,0.975
2000,5,16,,0.27885096434179213,1.0
2000,6,18,,0.42088476228822214,1.0
3000,2,20,,0.0021710007780191554,0.0
3000,3,22,,-0.22234425817547981,0.975
3000,4,24,,-0.14008606931011724,0.9875
3000,5,26,,0.17666017431338452,1.0
3000,6,28,,0.29573238190628093,1.0
