dim,dataset,seed,ks_true,ent_slope,len_slope,ent_final_minus_init,secs
2,plane,1,0.0,-0.08077839016914352,-0.07537924848613115,-0.6342856287956238,1.0
2,plane,2,0.0,-0.07963423450787845,-0.06477620570178243,-0.6223247647285461,0.6
2,plane,3,0.0,-0.09051313638687117,-0.0728187270424417,-0.70028156042099,0.6
2,sphere,1,2.0,-0.08285154779752081,-0.06867036018978828,-0.6472463011741638,0.6
2,sphere,2,2.0,-0.08022510568300863,-0.06719649322155313,-0.6266438364982605,0.6
2,sphere,3,2.0,-0.09244465139177094,-0.05293203618948578,-0.7133331298828125,0.6
2,saddle,1,-8.0,-0.07668782962693092,-0.07230363460938484,-0.6006634831428528,0.6
2,saddle,2,-8.0,-0.0756067780653634,-0.036368199001477905,-0.5891750454902649,0.6
2,saddle,3,-8.0,-0.0855320036411284,-0.07833942350696814,-0.6649208068847656,0.5
3,plane,1,0.0,-0.11657763004302955,-0.05920287315091312,-0.9035943746566772,0.6
3,plane,2,0.0,-0.10501815146870061,-0.06238589323664899,-0.8170991539955139,0.5
3,plane,3,0.0,-0.11367388712035266,-0.04597719129782137,-0.8771912455558777,0.6
3,sphere,1,6.0,-0.11762087265650406,-0.062165845061828436,-0.9138340353965759,0.6
3,sphere,2,6.0,-0.11599910497665387,-0.06518669301784079,-0.9022764563560486,0.5
3,sphere,3,6.0,-0.12517884678310798,-0.0628005238983552,-0.9705606698989868,0.6
3,saddle,1,-8.0,-0.11898744543393436,-0.0758750947248392,-0.9227024912834167,0.6
3,saddle,2,-8.0,-0.1161979142824807,-0.07584785877705459,-0.9018321633338928,0.5
3,saddle,3,-8.0,-0.11369939313994488,-0.06906003517289741,-0.8837040066719055,0.6
4,plane,1,0.0,-0.13735713203748048,-0.058799211496486495,-1.065386176109314,0.5
4,plane,2,0.0,-0.14565018428696508,-0.07998582183705329,-1.1338577270507812,0.6
4,plane,3,0.0,-0.13256153292126105,-0.06111599105246017,-1.0286407470703125,0.6
4,sphere,1,12.0,-0.13997802654902122,-0.05056008564525697,-1.0846844911575317,0.6
4,sphere,2,12.0,-0.14376512580447703,-0.05098842243557433,-1.109535574913025,0.5
4,sphere,3,12.0,-0.13752741429540824,-0.07351169482375211,-1.0752944946289062,0.6
4,saddle,1,-16.0,-0.1513219279713099,-0.0791543960092448,-1.1655843257904053,0.6
4,saddle,2,-16.0,-0.13820153845681063,-0.07231808525144903,-1.0672385692596436,0.5
4,saddle,3,-16.0,-0.1402028977870939,-0.042667205189442926,-1.0813755989074707,0.5
6,plane,1,0.0,-0.16648658500777327,-0.05747209153947999,-1.2881596088409424,0.6
6,plane,2,0.0,-0.17362743139266945,-0.06071112347923889,-1.3406789302825928,0.7
6,plane,3,0.0,-0.16147669911384555,-0.044523740213790755,-1.2482349872589111,0.7
6,sphere,1,30.0,-0.16621293491787356,-0.056577844562717965,-1.277655839920044,0.6
6,sphere,2,30.0,-0.18426837590005635,-0.05203071213976888,-1.4105719327926636,0.6
6,sphere,3,30.0,-0.17009098887443516,-0.06696483157616988,-1.3131963014602661,0.6
6,saddle,1,-24.0,-0.1716049991713627,-0.07091195945931554,-1.3277969360351562,0.7
6,saddle,2,-24.0,-0.16606271465619377,-0.05869789473404864,-1.2948899269104004,0.7
6,saddle,3,-24.0,-0.16630310893058758,-0.05695671986836712,-1.2874375581741333,0.7
