n_points,dim,rep,err,kappa_plus,frac,ent,t_ent
2000,2,9,,-0.019968334558268047,0.0,5.58412504196167,5
2000,3,11,,0.017489073691486112,1.0,5.323413372039795,1
2000,4,13,,0.18014721709466097,0.95,6.62708044052124,1
2000,5,15,,0.3070715727415103,1.0,7.284843444824219,1
2000,6,17,,0.4513157649518359,1.0,7.452056884765625,1
3000,2,19,,-0.019054804929899957,0.0,6.137656211853027,9
3000,3,21,,-0.12497996002017994,0.9375,5.0598907470703125,1
3000,4,23,,-0.028236521681231905,0.9125,6.412184238433838,1
3000,5,25,,0.16040066340606762,1.0,7.545351505279541,1
3000,6,27,,0.32557165825492124,1.0,7.782947063446045,1
