instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
0,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.04048658045912462,0.0,5.863241672515869,6
64,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.22691083417451013,0.0,5.04109525680542,1
128,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.1556870530416073,1.0,6.53052282333374,1
192,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.0701490681749899,1.0,7.268465518951416,1
256,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.5517682353310328,0.0,7.088289737701416,1
335,colosseum,,d2-c1-n0.05-m5,2,0.05,5,,-6.985728960248757,3000,-0.04557010552171145,0.0,6.053191184997559,5
459,colosseum,,d3-c1-n0.05-m9,3,0.05,9,,3.218057928153633,3000,0.2649209403569407,0.05,5.014949321746826,1
583,colosseum,,d4-c1-n0.05-m13,4,0.05,13,,28.472607937392368,3000,0.13028945375809697,0.0,6.401841640472412,1
722,colosseum,,d5-c1-n0.1-m2,5,0.1,2,,-51.81568753840308,3000,-0.21005684246778075,1.0,7.158074855804443,1
846,colosseum,,d6-c1-n0.1-m6,6,0.1,6,,68.02202730824673,3000,0.3574771144096024,0.025,6.912284851074219,1
