instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac
4,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.1544918259495402,0.0125
68,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.09603955932152106,1.0
132,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,0.04358664025096527,1.0
196,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.44831296576348567,0.0
260,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.4331177489396529,1.0
339,colosseum,,d2-c1-n0.05-m9,2,0.05,9,,-11.98291658411206,3000,-0.14994300822615,0.0
463,colosseum,,d3-c1-n0.05-m13,3,0.05,13,,1.5260272664429309,3000,-0.04612419524072779,0.2875
602,colosseum,,d4-c1-n0.1-m2,4,0.1,2,,29.480145418186098,3000,-0.19710838320693796,0.0375
726,colosseum,,d5-c1-n0.1-m6,5,0.1,6,,-27.36501286887357,3000,-0.18185235235482636,1.0
850,colosseum,,d6-c1-n0.1-m10,6,0.1,10,,36.32813350240218,3000,0.7131301209374508,0.0
