n_points,dim,rep,err,kappa_plus,frac
2000,2,1,,-0.03393624863754047,0.0
2000,3,3,,-0.023723068360520558,0.975
2000,4,5,,0.11102663423989248,0.9375
2000,5,7,,0.2586814926169548,1.0
2000,6,9,,0.39242488110166807,1.0
3000,2,11,,-0.006233635282520564,0.0
3000,3,13,,-0.18011540680938756,1.0
3000,4,15,,-0.22330753140802329,1.0
3000,5,17,,0.13659099629322605,1.0
3000,6,19,,0.36565852244701,1.0
