instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac
13,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.04549574541764309,0.025
77,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.045759667004210844,1.0
141,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,-0.009428830785926767,1.0
205,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.4667307900694714,0.0
269,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.41603836777409275,1.0
363,colosseum,,d2-c1-n0.1-m3,2,0.1,3,,-0.19573506102957822,3000,0.03151773126136338,0.025
487,colosseum,,d3-c1-n0.1-m7,3,0.1,7,,-37.0087735355624,3000,-0.18443440801872654,0.0125
611,colosseum,,d4-c1-n0.1-m11,4,0.1,11,,-3.3189630707114124,3000,-0.049624928369976104,0.15
750,colosseum,,d5-c1-n0.2-m0,5,0.2,0,,-64.8943072100459,3000,-0.27786044091982454,1.0
874,colosseum,,d6-c1-n0.2-m4,6,0.2,4,,-3.9688061912743757,3000,-0.07490426404716294,0.8
