instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
19,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.05439990456082608,0.0,5.663547992706299,6
83,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.053506121565079806,1.0,5.044979095458984,1
147,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,0.08716816969635198,1.0,6.772145748138428,1
211,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.3667664642782627,0.0,6.62929630279541,1
275,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.4635278857206623,1.0,7.441477298736572,1
369,colosseum,,d2-c1-n0.1-m9,2,0.1,9,,1.4450793517878724,3000,0.014347461287811378,0.1,5.148748874664307,1
493,colosseum,,d3-c1-n0.1-m13,3,0.1,13,,33.209975825617065,3000,-0.07761894870415031,0.0,5.230676651000977,1
632,colosseum,,d4-c1-n0.2-m2,4,0.2,2,,-24.04856054825175,3000,-0.11595483688665569,0.75,6.966346740722656,1
756,colosseum,,d5-c1-n0.2-m6,5,0.2,6,,-36.6631065153695,3000,0.006083954584958071,0.15,6.947799205780029,1
880,colosseum,,d6-c1-n0.2-m10,6,0.2,10,,76.14894406390464,3000,0.6084494848349473,0.0,6.853374004364014,1
