n_points,dim,rep,err,kappa_plus,frac,ent,t_ent
2000,2,2,,0.04784108810550729,0.0,5.584080696105957,5
2000,3,4,,-0.030253047546840772,1.0,5.0824503898620605,1
2000,4,6,,0.1348997616212485,0.9875,6.50668478012085,1
2000,5,8,,0.25541442309812945,1.0,7.212558746337891,1
2000,6,10,,0.3861220499477082,1.0,7.417396545410156,1
3000,2,12,,0.007196173996286748,0.0,6.0754547119140625,8
3000,3,14,,-0.08885300210110189,0.95,5.072284698486328,1
3000,4,16,,-0.06178936711425831,1.0,6.551374912261963,1
3000,5,18,,0.1375435094565215,1.0,7.501407623291016,1
3000,6,20,,0.13461899662794127,1.0,7.794347286224365,1
