n_points,dim,rep,err,kappa_plus,frac,ent,t_ent
2000,2,12,,-0.09104396051381064,0.0,5.691507816314697,6
2000,3,14,,0.019176852409114445,1.0,4.9691243171691895,1
2000,4,16,,0.07449941881389321,1.0,6.518348217010498,1
2000,5,18,,0.28968487214576044,1.0,7.239073276519775,1
2000,6,20,,0.4340655036966476,1.0,7.423469543457031,1
3000,2,22,,0.031242569373634982,0.0,6.058099269866943,8
3000,3,24,,-0.06024531663956478,0.925,5.1170973777771,1
3000,4,26,,-0.02242711484568316,0.975,6.590383052825928,1
3000,5,28,,0.17375028002623844,1.0,7.471923351287842,1
