instance,method,score,score_std,err,name,dim,noise,m,ks_true
300,se_tau1,-1.186023324728012,0.0259397492707295,,d2-c1-n0.01-m0,2,0.01,0,-4.073403328580132
300,se_tau_auto,-4.6312665939331055,0.1164371643316451,,d2-c1-n0.01-m0,2,0.01,0,-4.073403328580132
300,se_kmetric_t,-5.241891264915466,0.0133894111275574,,d2-c1-n0.01-m0,2,0.01,0,-4.073403328580132
300,w1_spread,-90.66236305236816,0.8922514390726443,,d2-c1-n0.01-m0,2,0.01,0,-4.073403328580132
300,w2_spread,-100.98356246948242,1.1759581353656186,,d2-c1-n0.01-m0,2,0.01,0,-4.073403328580132
300,se_multiscale,0.3466968387365341,0.0134663802082372,,d2-c1-n0.01-m0,2,0.01,0,-4.073403328580132
304,se_tau1,-1.2786308526992798,0.0143347978591918,,d2-c1-n0.01-m4,2,0.01,4,-10.811957593661983
304,se_tau_auto,-4.897830963134766,0.0493278503417968,,d2-c1-n0.01-m4,2,0.01,4,-10.811957593661983
304,se_kmetric_t,-5.148366957056659,0.013778591676326,,d2-c1-n0.01-m4,2,0.01,4,-10.811957593661983
304,w1_spread,-91.1095431474468,0.259024798267454,,d2-c1-n0.01-m4,2,0.01,4,-10.811957593661983
304,w2_spread,-101.63847055624886,0.2534110172643267,,d2-c1-n0.01-m4,2,0.01,4,-10.811957593661983
304,se_multiscale,0.3117076009511947,0.0138501077890396,,d2-c1-n0.01-m4,2,0.01,4,-10.811957593661983
308,se_tau1,-1.2391055226325989,0.0065398812294006,,d2-c1-n0.01-m8,2,0.01,8,-4.802158035650685
308,se_tau_auto,-4.706564903259277,0.0382347106933593,,d2-c1-n0.01-m8,2,0.01,8,-4.802158035650685
308,se_kmetric_t,-5.190498800186735,0.0038131046535219,,d2-c1-n0.01-m8,2,0.01,8,-4.802158035650685
308,w1_spread,-90.24155645956516,0.0595151153898427,,d2-c1-n0.01-m8,2,0.01,8,-4.802158035650685
308,w2_spread,-100.57982290862276,0.1610890066281882,,d2-c1-n0.01-m8,2,0.01,8,-4.802158035650685
308,se_multiscale,0.3110302537679672,0.0087039917707443,,d2-c1-n0.01-m8,2,0.01,8,-4.802158035650685
312,se_tau1,-1.1039820313453674,0.0243605971336364,,d2-c1-n0.01-m12,2,0.01,12,-0.8978601744396698
312,se_tau_auto,-4.615153074264526,0.0412075519561767,,d2-c1-n0.01-m12,2,0.01,12,-0.8978601744396698
312,se_kmetric_t,-5.232050976870243,0.0104271459829967,,d2-c1-n0.01-m12,2,0.01,12,-0.8978601744396698
312,w1_spread,-91.09993326490788,0.3883263237590881,,d2-c1-n0.01-m12,2,0.01,12,-0.8978601744396698
312,w2_spread,-101.72311726745308,0.6217065109628734,,d2-c1-n0.01-m12,2,0.01,12,-0.8978601744396698
312,se_multiscale,0.3467434048652649,0.0105803310871124,,d2-c1-n0.01-m12,2,0.01,12,-0.8978601744396698
361,se_tau1,-0.9957880973815918,0.0146608352661132,,d2-c1-n0.1-m1,2,0.1,1,9.449520693307583
361,se_tau_auto,-4.6064088344573975,0.0012166500091552,,d2-c1-n0.1-m1,2,0.1,1,9.449520693307583
361,se_kmetric_t,-5.504607054209285,0.0020216028287718,,d2-c1-n0.1-m1,2,0.1,1,9.449520693307583
361,w1_spread,-96.31292005733204,0.6547196718676105,,d2-c1-n0.1-m1,2,0.1,1,9.449520693307583
361,w2_spread,-106.48143161855364,0.7037853659563922,,d2-c1-n0.1-m1,2,0.1,1,9.449520693307583
361,se_multiscale,0.2014731019735336,0.0231770426034927,,d2-c1-n0.1-m1,2,0.1,1,9.449520693307583
365,se_tau1,-0.9952704310417176,0.0078338980674743,,d2-c1-n0.1-m5,2,0.1,5,11.08152312025702
365,se_tau_auto,-4.690470218658447,0.3303160667419433,,d2-c1-n0.1-m5,2,0.1,5,11.08152312025702
365,se_kmetric_t,-5.452714770854102,0.0107117220487706,,d2-c1-n0.1-m5,2,0.1,5,11.08152312025702
365,w1_spread,-94.64925421558166,0.3205643259222697,,d2-c1-n0.1-m5,2,0.1,5,11.08152312025702
365,w2_spread,-104.1425554913934,0.4103863918387915,,d2-c1-n0.1-m5,2,0.1,5,11.08152312025702
365,se_multiscale,0.2081027552485466,0.0199218615889549,,d2-c1-n0.1-m5,2,0.1,5,11.08152312025702
369,se_tau1,-0.6651612222194672,0.0065814554691314,,d2-c1-n0.1-m9,2,0.1,9,1.4450793517878724
369,se_tau_auto,-4.493071556091309,0.2844829559326172,,d2-c1-n0.1-m9,2,0.1,9,1.4450793517878724
369,se_kmetric_t,-5.701072661512431,0.011911326333525,,d2-c1-n0.1-m9,2,0.1,9,1.4450793517878724
369,w1_spread,-100.7807900977013,0.1182348126941548,,d2-c1-n0.1-m9,2,0.1,9,1.4450793517878724
369,w2_spread,-110.70288686305406,0.2542537458693417,,d2-c1-n0.1-m9,2,0.1,9,1.4450793517878724
369,se_multiscale,0.3589661419391632,0.0055320560932159,,d2-c1-n0.1-m9,2,0.1,9,1.4450793517878724
373,se_tau1,-0.7864854037761688,0.0077438652515411,,d2-c1-n0.1-m13,2,0.1,13,1.219879741117918
373,se_tau_auto,-4.578758001327515,0.0818769931793212,,d2-c1-n0.1-m13,2,0.1,13,1.219879741117918
