instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac
6,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.10918929262132798,0.0
70,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.29056092889167484,0.0
134,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.11453438933168135,0.9625
198,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.1553391517335189,1.0
262,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.5098540285396804,0.0
341,colosseum,,d2-c1-n0.05-m11,2,0.05,11,,-1.8164727412950512,3000,-0.0007006566854040608,0.0
480,colosseum,,d3-c1-n0.1-m0,3,0.1,0,,10.984687542340703,3000,-0.07039708980920366,0.275
604,colosseum,,d4-c1-n0.1-m4,4,0.1,4,,-3.1032668576189137,3000,0.05716983979267552,0.1375
728,colosseum,,d5-c1-n0.1-m8,5,0.1,8,,-86.78332400296945,3000,-0.6186410736251471,0.8875
852,colosseum,,d6-c1-n0.1-m12,6,0.1,12,,-29.392414791830895,3000,-0.585873445958397,1.0
