instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
8,sadspheres,,2-Plane,2,0.0,,Plane,0.0,2000,-0.00773968978809042,0.0,5.764651775360107,6
72,sadspheres,,3-Saddle,3,0.0,,Saddle,-8.0,2000,-0.18178376196984664,1.0,5.196159362792969,1
136,sadspheres,,4-Sphere,4,0.0,,Sphere,2.0,2000,0.3766420058731671,0.0,6.033031463623047,1
200,sadspheres,,5-Plane,5,0.0,,Plane,0.0,2000,0.32694009366136395,1.0,7.2016143798828125,1
264,sadspheres,,6-Saddle,6,0.0,,Saddle,-24.0,2000,0.44223975485248723,1.0,7.445889472961426,1
343,colosseum,,d2-c1-n0.05-m13,2,0.05,13,,-4.378023159484492,3000,-0.0013556772015456131,0.0,6.0067548751831055,5
482,colosseum,,d3-c1-n0.1-m2,3,0.1,2,,-3.557038532205605,3000,0.09514329433967748,0.05,5.417604923248291,1
606,colosseum,,d4-c1-n0.1-m6,4,0.1,6,,-27.860036231503933,3000,-0.16165926468340286,0.5125,6.767882823944092,1
730,colosseum,,d5-c1-n0.1-m10,5,0.1,10,,-67.17285898139227,3000,-0.4342669820284141,0.7125,7.0933732986450195,1
854,colosseum,,d6-c1-n0.1-m14,6,0.1,14,,-26.73210065400279,3000,-0.595991024916417,1.0,7.3040289878845215,1
