n_points,dim,rep,err,kappa_plus,frac,ent,t_ent
2000,2,7,,-0.0025169476077067376,0.025,5.497087001800537,4
2000,3,9,,-0.04314217013371692,1.0,5.111048221588135,1
2000,4,11,,0.0012115956877171846,1.0,6.478374481201172,1
2000,5,13,,0.30904826131690266,1.0,7.216220378875732,1
2000,6,15,,0.3942193587978834,1.0,7.406341552734375,1
3000,2,17,,0.0024064455794728795,0.0,6.117554664611816,9
3000,3,19,,-0.17471538545301316,0.8375,4.880630016326904,1
3000,4,21,,-0.08605909179499686,1.0,6.7141923904418945,1
3000,5,23,,0.028409363767897072,1.0,7.470035076141357,1
3000,6,25,,0.2886016988131788,1.0,7.771461486816406,1
