n_points,dim,rep,err,kappa_plus,frac,ent,t_ent
2000,2,1,,-0.03393624863754047,0.0,5.722167491912842,6
2000,3,3,,-0.023723068360520558,0.975,5.219512462615967,1
2000,4,5,,0.11102663423989248,0.9375,6.656890869140625,1
2000,5,7,,0.2586814926169548,1.0,7.216365814208984,1
2000,6,9,,0.39242488110166807,1.0,7.401754856109619,1
3000,2,11,,-0.006233635282520564,0.0,6.088149547576904,8
3000,3,13,,-0.18011540680938756,1.0,5.1497321128845215,1
3000,4,15,,-0.22330753140802329,1.0,6.4274797439575195,1
3000,5,17,,0.13659099629322605,1.0,7.4601731300354,1
3000,6,19,,0.36565852244701,1.0,7.7440924644470215,1
