instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
2,sadspheres,,2-Plane,2,0.0,,Plane,0.0,2000,-0.007867756410431775,0.0,5.835992336273193,7
66,sadspheres,,3-Saddle,3,0.0,,Saddle,-8.0,2000,-0.1751655127054257,1.0,5.276345252990723,1
130,sadspheres,,4-Sphere,4,0.0,,Sphere,2.0,2000,0.3170583690612562,0.0,5.98299503326416,1
194,sadspheres,,5-Plane,5,0.0,,Plane,0.0,2000,0.28733769239042256,1.0,7.228505611419678,1
258,sadspheres,,6-Saddle,6,0.0,,Saddle,-24.0,2000,0.5186968472939353,1.0,7.4301652908325195,1
337,colosseum,,d2-c1-n0.05-m7,2,0.05,7,,0.013149415250463092,3000,0.08601867832090107,0.0,5.945708751678467,4
461,colosseum,,d3-c1-n0.05-m11,3,0.05,11,,21.368395828400903,3000,0.10504070586456393,0.025,5.314577102661133,1
600,colosseum,,d4-c1-n0.1-m0,4,0.1,0,,-26.415311732361605,3000,-0.18248684516358246,0.525,6.770877838134766,1
724,colosseum,,d5-c1-n0.1-m4,5,0.1,4,,-53.95304602005903,3000,0.04370241931943615,0.3,6.9903459548950195,1
848,colosseum,,d6-c1-n0.1-m8,6,0.1,8,,-25.63865350280647,3000,-0.17014245525455077,1.0,7.212815761566162,1
