instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac
23,sadspheres,,2-Plane,2,0.0,,Plane,0.0,2000,0.09258585094902952,0.0
87,sadspheres,,3-Saddle,3,0.0,,Saddle,-8.0,2000,-0.10519320360203588,1.0
151,sadspheres,,4-Sphere,4,0.0,,Sphere,2.0,2000,0.3670382490351527,0.0
215,sadspheres,,5-Plane,5,0.0,,Plane,0.0,2000,0.2512905933249465,1.0
279,sadspheres,,6-Saddle,6,0.0,,Saddle,-24.0,2000,0.573637714770064,1.0
373,colosseum,,d2-c1-n0.1-m13,2,0.1,13,,1.219879741117918,3000,0.10562566994224198,0.0875
512,colosseum,,d3-c1-n0.2-m2,3,0.2,2,,-7.144697080372662,3000,-0.1775942264972204,0.1875
636,colosseum,,d4-c1-n0.2-m6,4,0.2,6,,-29.21622157395343,3000,-0.2996578744088246,0.675
760,colosseum,,d5-c1-n0.2-m10,5,0.2,10,,-38.9177710392795,3000,-0.41550766902737046,1.0
884,colosseum,,d6-c1-n0.2-m14,6,0.2,14,,-48.22651622007661,3000,-0.7741001753058455,1.0
