instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
38,sadspheres,,2-Plane,2,0.0,,Plane,0.0,2000,-0.052610826763348106,0.0,5.569967746734619,5
102,sadspheres,,3-Saddle,3,0.0,,Saddle,-8.0,2000,0.07149254043392353,0.9375,5.219064712524414,1
166,sadspheres,,4-Sphere,4,0.0,,Sphere,2.0,2000,0.30232426536615087,0.0,5.968350887298584,1
230,sadspheres,,5-Plane,5,0.0,,Plane,0.0,2000,0.31590241833272925,1.0,7.249488830566406,1
294,sadspheres,,6-Saddle,6,0.0,,Saddle,-24.0,2000,0.5212576288044013,1.0,7.431548595428467,1
403,colosseum,,d2-c1-n0.2-m13,2,0.2,13,,-0.7938535783685272,3000,-0.08829163200007925,0.325,5.131469249725342,1
542,colosseum,,d4-c1-n0.01-m2,4,0.01,2,,22.442617233270976,3000,0.12794780831620345,0.0,6.2274932861328125,1
666,colosseum,,d5-c1-n0.01-m6,5,0.01,6,,-37.704304298321674,3000,-0.23999079662668416,1.0,7.120004177093506,1
790,colosseum,,d6-c1-n0.01-m10,6,0.01,10,,-54.921670100446896,3000,-0.35075908084972673,0.275,7.156999111175537,1
