instance,n_traj,method,ks_hat,ks_hat_std,n_seeds_ok,coverage,eval_dist,elapsed_s,err,name,dim,codim,noise,m,ks_true
813,500,fbkernel_orc,0.2912244742673773,0.0393599818093561,4,0.997,0.0,335.8,,d6-c1-n0.05-m3,6,1,0.05,3,-23.29512109554493
810,500,traj_dorc,0.0918740233173485,0.0,1,0.994,0.0,3.3,,d6-c1-n0.05-m0,6,1,0.05,0,-50.04826371600894
810,500,kmetric_dorc,0.2888556252512573,0.0661656144473928,4,0.994,0.0,338.4,,d6-c1-n0.05-m0,6,1,0.05,0,-50.04826371600894
810,500,fbkernel_orc,0.3476068539279527,0.0340414252122954,4,0.994,0.0,338.4,,d6-c1-n0.05-m0,6,1,0.05,0,-50.04826371600894
792,500,traj_dorc,0.1122227100388867,0.0,1,0.996,0.0,2.7,,d6-c1-n0.01-m12,6,1,0.01,12,-38.33381100352402
792,500,kmetric_dorc,0.3273806580102731,0.0492947373685353,4,0.996,0.0,339.2,,d6-c1-n0.01-m12,6,1,0.01,12,-38.33381100352402
792,500,fbkernel_orc,0.3638319534380505,0.0411997026516636,4,0.996,0.0,339.2,,d6-c1-n0.01-m12,6,1,0.01,12,-38.33381100352402
789,500,traj_dorc,0.1985622226442411,0.0,1,0.997,0.0,2.6,,d6-c1-n0.01-m9,6,1,0.01,9,-43.329784414216405
789,500,kmetric_dorc,0.2571970032055908,0.0410547124499165,4,0.997,0.0,337.8,,d6-c1-n0.01-m9,6,1,0.01,9,-43.329784414216405
789,500,fbkernel_orc,0.3027548840495564,0.0306857023912299,4,0.997,0.0,337.8,,d6-c1-n0.01-m9,6,1,0.01,9,-43.329784414216405
786,500,traj_dorc,0.2764269835965912,0.0,1,0.999,0.0,2.5,,d6-c1-n0.01-m6,6,1,0.01,6,19.57578791881146
786,500,kmetric_dorc,0.2756469025121535,0.0603324248678072,4,0.999,0.0,336.7,,d6-c1-n0.01-m6,6,1,0.01,6,19.57578791881146
786,500,fbkernel_orc,0.3078411132656738,0.041723499959243,4,0.999,0.0,336.7,,d6-c1-n0.01-m6,6,1,0.01,6,19.57578791881146
783,500,traj_dorc,0.0798598033978592,0.0,1,0.999,0.0,3.2,,d6-c1-n0.01-m3,6,1,0.01,3,-42.99969305482514
783,500,kmetric_dorc,0.3555161437904645,0.0272262227509422,4,0.999,0.0,337.6,,d6-c1-n0.01-m3,6,1,0.01,3,-42.99969305482514
783,500,fbkernel_orc,0.3643927700142164,0.0442065754343883,4,0.999,0.0,337.6,,d6-c1-n0.01-m3,6,1,0.01,3,-42.99969305482514
780,500,traj_dorc,0.2823287241069629,0.0,1,0.998,0.0,3.1,,d6-c1-n0.01-m0,6,1,0.01,0,-45.54654777327077
780,500,kmetric_dorc,0.333218747387401,0.0119221171932372,4,0.998,0.0,342.0,,d6-c1-n0.01-m0,6,1,0.01,0,-45.54654777327077
