n_points,dim,rep,err,kappa_plus,frac,ent,t_ent
2000,2,3,,0.022133233641625158,0.0,5.599519729614258,5
2000,3,5,,-0.033055992766906475,1.0,5.23759651184082,1
2000,4,7,,0.0322684616304318,0.9875,6.567540168762207,1
2000,5,9,,0.23070603143638316,1.0,7.269604682922363,1
2000,6,11,,0.4256688881116999,1.0,7.408665657043457,1
3000,2,13,,0.014766861515507365,0.0,5.975612163543701,7
3000,3,15,,-0.13853250094116862,0.9625,4.931866645812988,1
3000,4,17,,-0.09181888409408832,1.0,6.558091163635254,1
3000,5,19,,0.08025726813532717,1.0,7.487648963928223,1
3000,6,21,,0.18166888398473197,1.0,7.744473457336426,1
