n_points,dim,rep,err,kappa_plus,frac,ent,t_ent
2000,2,8,,-0.004993546513042735,0.0,5.612464427947998,5
2000,3,10,,-0.07015526763222484,1.0,5.020048141479492,1
2000,4,12,,0.13740341218082075,0.9375,6.470733642578125,1
2000,5,14,,0.2278032387018616,1.0,7.218136787414551,1
2000,6,16,,0.4590921393534316,1.0,7.427891731262207,1
3000,2,18,,0.017611337342662667,0.0,6.054586887359619,8
3000,3,20,,-0.10559574141282288,0.85,4.715083599090576,1
3000,4,22,,0.010541720174702077,1.0,6.385950565338135,1
3000,5,24,,0.15866612964147447,1.0,7.5469279289245605,1
3000,6,26,,0.05886736133089902,1.0,7.795285701751709,1
