instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,mu_k,sd_k,mu_f,sd_f,z_plus,z_frac,S_diff,S_sel,kappa_only,frac_only
1,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.0982791307180332,0.0,-0.005977246090684373,0.02826436714094643,0.004166666666666667,0.016522363806281668,3.6886152903696874,-0.2521834475695623,3.9407987379392497,3.6886152903696874,3.6886152903696874,0.2521834475695623
65,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.0969654054678941,1.0,-0.01156080209928355,0.03955325840848126,0.995,0.010170952554312156,-2.159230536372133,0.49159604012508795,-2.650826576497221,0.0,-2.159230536372133,-0.49159604012508795
129,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,0.0494873930450641,1.0,0.10307559745691662,0.0729677896994548,0.9845833333333334,0.019332429130659076,-0.7344090403803599,0.7974510891762443,-1.531860129556604,0.0,-0.7344090403803599,-0.7974510891762443
193,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.4834747839331338,0.0,0.2888645288180819,0.036398824889933575,1.0,0.001,5.346608185938254,-1000.0,1005.3466081859383,5.346608185938254,5.346608185938254,1000.0
257,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.4353201913893124,1.0,0.4403097779431379,0.03220084053120525,1.0,0.001,-0.1549520593721836,0.0,-0.1549520593721836,0.0,-0.1549520593721836,-0.0
336,colosseum,,d2-c1-n0.05-m6,2,0.05,6.0,,-2.880567788146728,3000,0.013599277420896,0.0,0.00745966836540488,0.029911808688745024,0.0175,0.07424911470504386,0.2052570314078427,-0.2356930458971681,0.4409500773050108,0.0,0.2052570314078427,0.2356930458971681
460,colosseum,,d3-c1-n0.05-m10,3,0.05,10.0,,-13.787515224982826,3000,-0.0252411607504266,0.7375,-0.13339043664545883,0.05156161832448258,0.9383333333333332,0.051688445539586986,2.0974763672939374,-3.885458949999175,5.982935317293112,2.0974763672939374,2.0974763672939374,3.885458949999175
584,colosseum,,d4-c1-n0.05-m14,4,0.05,14.0,,-18.85016105524571,3000,0.0736520546181205,0.3875,-0.09327934569536739,0.10507114599649368,0.98125,0.029680409770384428,1.5887463559125787,-20.004777716797324,21.593524072709904,1.5887463559125787,1.5887463559125787,20.004777716797324
723,colosseum,,d5-c1-n0.1-m3,5,0.1,3.0,,-39.1042194433172,3000,-0.2334335458607342,1.0,0.15121377023799723,0.061370690979241846,1.0,0.001,-6.267606082988952,0.0,-6.267606082988952,0.0,-6.267606082988952,-0.0
847,colosseum,,d6-c1-n0.1-m7,6,0.1,7.0,,-52.04537163029244,3000,-0.6874351188813504,1.0,0.2241901802541967,0.07050366417352924,1.0,0.001,-12.930183272344289,0.0,-12.930183272344289,0.0,-12.930183272344289,-0.0
10,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.0323074099551595,0.0,-0.005977246090684373,0.02826436714094643,0.004166666666666667,0.016522363806281668,1.354520193391527,-0.2521834475695623,1.6067036409610893,1.354520193391527,1.354520193391527,0.2521834475695623
74,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.0141077845614522,1.0,-0.01156080209928355,0.03955325840848126,0.995,0.010170952554312156,-0.06439374566476956,0.49159604012508795,-0.5559897857898575,0.0,-0.06439374566476956,-0.49159604012508795
138,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,0.0540054877808365,1.0,0.10307559745691662,0.0729677896994548,0.9845833333333334,0.019332429130659076,-0.6724900107046379,0.7974510891762443,-1.4699410998808822,0.0,-0.6724900107046379,-0.7974510891762443
202,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.3865332052527188,0.0,0.2888645288180819,0.036398824889933575,1.0,0.001,2.683292021925907,-1000.0,1002.6832920219259,2.683292021925907,2.683292021925907,1000.0
266,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.4625157554603072,1.0,0.4403097779431379,0.03220084053120525,1.0,0.001,0.6896086298011348,0.0,0.6896086298011348,0.0,0.6896086298011348,-0.0
360,colosseum,,d2-c1-n0.1-m0,2,0.1,0.0,,-0.2773082867850632,3000,0.0223873717248509,0.0,0.00745966836540488,0.029911808688745024,0.0175,0.07424911470504386,0.49905719559723244,-0.2356930458971681,0.7347502414944005,0.0,0.49905719559723244,0.2356930458971681
484,colosseum,,d3-c1-n0.1-m4,3,0.1,4.0,,-9.95300009216142,3000,-0.0757941118917779,0.725,-0.13339043664545883,0.05156161832448258,0.9383333333333332,0.051688445539586986,1.1170387320122754,-4.1272924946049345,5.24433122661721,1.1170387320122754,1.1170387320122754,4.1272924946049345
608,colosseum,,d4-c1-n0.1-m8,4,0.1,8.0,,5.924945353387931,3000,-0.1616198393091995,0.0625,-0.09327934569536739,0.10507114599649368,0.98125,0.029680409770384428,-0.6504211309935906,-30.954761309149543,30.304340178155954,0.0,-0.6504211309935906,30.954761309149543
732,colosseum,,d5-c1-n0.1-m12,5,0.1,12.0,,-36.76476047112881,3000,-0.2278407930161043,1.0,0.15121377023799723,0.061370690979241846,1.0,0.001,-6.176475402278162,0.0,-6.176475402278162,0.0,-6.176475402278162,-0.0
871,colosseum,,d6-c1-n0.2-m1,6,0.2,1.0,,0.935435246704639,3000,0.2646593838368202,1.0,0.2241901802541967,0.07050366417352924,1.0,0.001,0.5740014232879791,0.0,0.5740014232879791,0.0,0.5740014232879791,-0.0
11,sadspheres,,2-Plane,2,0.0,,Plane,0.0,2000,0.0209002949665467,0.0,-0.005977246090684373,0.02826436714094643,0.004166666666666667,0.016522363806281668,0.9509337648778886,-0.2521834475695623,1.203117212447451,0.0,0.9509337648778886,0.2521834475695623
75,sadspheres,,3-Saddle,3,0.0,,Saddle,-8.0,2000,-0.0827928564215942,1.0,-0.01156080209928355,0.03955325840848126,0.995,0.010170952554312156,-1.8009149483127447,0.49159604012508795,-2.2925109884378325,0.0,-1.8009149483127447,-0.49159604012508795
139,sadspheres,,4-Sphere,4,0.0,,Sphere,2.0,2000,0.3393597854017122,0.0,0.10307559745691662,0.0729677896994548,0.9845833333333334,0.019332429130659076,3.238198510850069,-50.92910604658025,54.16730455743032,3.238198510850069,3.238198510850069,50.92910604658025
203,sadspheres,,5-Plane,5,0.0,,Plane,0.0,2000,0.2925073918248529,1.0,0.2888645288180819,0.036398824889933575,1.0,0.001,0.10008188500004271,0.0,0.10008188500004271,0.0,0.10008188500004271,-0.0
267,sadspheres,,6-Saddle,6,0.0,,Saddle,-24.0,2000,0.5256629367917957,1.0,0.4403097779431379,0.03220084053120525,1.0,0.001,2.6506500277824596,0.0,2.6506500277824596,2.6506500277824596,2.6506500277824596,-0.0
361,colosseum,,d2-c1-n0.1-m1,2,0.1,1.0,,9.449520693307583,3000,0.0001133767708279,0.0125,0.00745966836540488,0.029911808688745024,0.0175,0.07424911470504386,-0.24559837457576358,-0.06734087025633374,-0.17825750431942983,0.0,-0.24559837457576358,0.06734087025633374
485,colosseum,,d3-c1-n0.1-m5,3,0.1,5.0,,-20.52226204708142,3000,-0.1323725979941758,0.425,-0.13339043664545883,0.05156161832448258,0.9383333333333332,0.051688445539586986,0.01974023865732175,-9.931297565143124,9.951037803800446,0.0,0.01974023865732175,9.931297565143124
609,colosseum,,d4-c1-n0.1-m9,4,0.1,9.0,,-0.0842488264840803,3000,0.0738317888926479,0.2625,-0.09327934569536739,0.10507114599649368,0.98125,0.029680409770384428,1.5904569518409168,-24.216309867702023,25.80676681954294,1.5904569518409168,1.5904569518409168,24.216309867702023
733,colosseum,,d5-c1-n0.1-m13,5,0.1,13.0,,-36.53140813846787,3000,0.0360129958950916,1.0,0.15121377023799723,0.061370690979241846,1.0,0.001,-1.8771301496649497,0.0,-1.8771301496649497,0.0,-1.8771301496649497,-0.0
872,colosseum,,d6-c1-n0.2-m2,6,0.2,2.0,,-31.49232593408417,3000,-0.4372295623786896,1.0,0.2241901802541967,0.07050366417352924,1.0,0.001,-9.381352733738026,0.0,-9.381352733738026,0.0,-9.381352733738026,-0.0
12,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.1058174453380012,0.0,-0.005977246090684373,0.02826436714094643,0.004166666666666667,0.016522363806281668,-3.5323698828791006,-0.2521834475695623,-3.2801864353095382,0.0,-3.5323698828791006,0.2521834475695623
76,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.1975358744880298,0.0,-0.01156080209928355,0.03955325840848126,0.995,0.010170952554312156,5.2864589417107934,-97.82761198489241,103.1140709266032,5.2864589417107934,5.2864589417107934,97.82761198489241
140,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.0557970743830808,1.0,0.10307559745691662,0.0729677896994548,0.9845833333333334,0.019332429130659076,-0.6479368947390368,0.7974510891762443,-1.445387983915281,0.0,-0.6479368947390368,-0.7974510891762443
204,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.165576683074738,1.0,0.2888645288180819,0.036398824889933575,1.0,0.001,-3.3871380770163344,0.0,-3.3871380770163344,0.0,-3.3871380770163344,-0.0
268,sadspheres,,6-Sphere,6,0.0,,Sphere,2.0,2000,0.5245656632702683,0.0,0.4403097779431379,0.03220084053120525,1.0,0.001,2.6165740998431257,-1000.0,1002.6165740998431,2.6165740998431257,2.6165740998431257,1000.0
362,colosseum,,d2-c1-n0.1-m2,2,0.1,2.0,,-12.086218290266444,3000,0.0078944053149749,0.0,0.00745966836540488,0.029911808688745024,0.0175,0.07424911470504386,0.014533957277334414,-0.2356930458971681,0.2502270031745025,0.0,0.014533957277334414,0.2356930458971681
486,colosseum,,d3-c1-n0.1-m6,3,0.1,6.0,,-2.2494890599102795,3000,-0.077096412289504,0.025,-0.13339043664545883,0.05156161832448258,0.9383333333333332,0.051688445539586986,1.0917815651496958,-17.66997099252738,18.761752557677074,1.0917815651496958,1.0917815651496958,17.66997099252738
610,colosseum,,d4-c1-n0.1-m10,4,0.1,10.0,,4.907010535399368,3000,-0.287438643337315,0.6875,-0.09327934569536739,0.10507114599649368,0.98125,0.029680409770384428,-1.847884077027454,-9.897100554626043,8.04921647759859,0.0,-1.847884077027454,9.897100554626043
734,colosseum,,d5-c1-n0.1-m14,5,0.1,14.0,,19.805718872836444,3000,0.2634975806129863,0.2,0.15121377023799723,0.061370690979241846,1.0,0.001,1.8295999048302742,-800.0,801.8295999048303,1.8295999048302742,1.8295999048302742,800.0
873,colosseum,,d6-c1-n0.2-m3,6,0.2,3.0,,-50.45518735514644,3000,-0.3539309618573872,1.0,0.2241901802541967,0.07050366417352924,1.0,0.001,-8.199873707112102,0.0,-8.199873707112102,0.0,-8.199873707112102,-0.0
13,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.045495745417643,0.025,-0.005977246090684373,0.02826436714094643,0.004166666666666667,0.016522363806281668,1.8211266239093937,1.2609172378478115,0.5602093860615822,1.8211266239093937,1.8211266239093937,-1.2609172378478115
