instance,n_traj,dim,noise,ks_true,err,coverage,eval_dist,resp_skew,pair_contract,pair_n
420,25,3,0.01,1.2257813837761642,,0.2646666666666666,0.3353209686382555,-0.970755568078614,-1.715065557587477,118.0
482,25,3,0.1,-3.557038532205605,,0.268,0.4530749378882133,-0.8605464443283857,-1.8161626582447088,122.0
544,25,4,0.01,-16.875471101588957,,0.272,0.2675925592823517,-1.4360998533993456,-1.8965919172939327,124.0
606,25,4,0.1,-27.860036231503933,,0.2726666666666666,0.442885895849452,-1.4321905771985055,-1.6263009375022095,133.0
668,25,5,0.01,-28.42240351450837,,0.2753333333333333,0.0,-2.1042291189081888,-1.8178955184783,191.0
730,25,5,0.1,-67.17285898139227,,0.294,0.6975741035792694,-1.1850628754134331,-1.7922285429822762,239.0
792,25,6,0.01,-38.33381100352402,,0.2906666666666667,0.0,-1.3381769555235146,-1.699398877554687,241.0
854,25,6,0.1,-26.73210065400279,,0.3,0.6233316894708653,-1.4979447953763805,-1.811315215064488,218.0
420,100,3,0.01,1.2257813837761642,,0.69,0.0,-0.1759660241093409,-1.38258893263921,2058.0
482,100,3,0.1,-3.557038532205605,,0.72,0.0,-0.4068428658415967,-1.3690339543376004,2115.0
544,100,4,0.01,-16.875471101588957,,0.7053333333333334,0.0,-1.5793737508442909,-1.7198417380735649,2503.0
606,100,4,0.1,-27.860036231503933,,0.732,0.0,-1.014644930078723,-1.4670047768399122,2413.0
668,100,5,0.01,-28.42240351450837,,0.7456666666666667,0.4185218413579538,-1.0055637427929311,-1.4527043439452645,1812.0
730,100,5,0.1,-67.17285898139227,,0.7426666666666667,0.0,-1.6050537620332062,-1.3466883421269291,2252.0
792,100,6,0.01,-38.33381100352402,,0.748,0.5699777820055494,-1.445923639435987,-1.3884278036871631,1966.0
854,100,6,0.1,-26.73210065400279,,0.7313333333333333,0.6190092064829512,-1.828832978635853,-1.250354540981964,1991.0
425,25,3,0.01,-6.077102370699984,,0.2576666666666666,0.2939227749781917,-1.068405374050236,-1.7774838672402251,99.0
487,25,3,0.1,-37.0087735355624,,0.259,0.5039577946350362,-1.564757497956545,-1.462186111514654,85.0
549,25,4,0.01,-11.171970873719408,,0.272,0.2817847974120628,-1.3055121993465046,-1.7929114316187775,191.0
611,25,4,0.1,-3.3189630707114124,,0.2703333333333333,0.487069016147861,-0.92071921918302,-1.716052469711804,164.0
673,25,5,0.01,-29.827358750792463,,0.2793333333333333,0.0,-1.4324167781221795,-1.8981802924933084,274.0
750,25,5,0.2,-64.8943072100459,,0.2963333333333333,0.5154144539520938,-2.319855981794923,-1.5833251737805054,225.0
812,25,6,0.05,-45.10090508696406,,0.2923333333333333,0.9183070632216312,-1.2693257059146472,-1.2790858925323252,119.0
874,25,6,0.2,-3.968806191274376,,0.2883333333333333,0.6856336688682674,-1.1369984127103128,-1.57589124700107,291.0
425,100,3,0.01,-6.077102370699984,,0.7063333333333334,0.0,-0.1488969932184335,-1.4887609322671642,2428.0
487,100,3,0.1,-37.0087735355624,,0.6953333333333334,0.0,-0.3998185751317992,-1.656843871289191,2334.0
549,100,4,0.01,-11.171970873719408,,0.7033333333333334,0.0,-1.467860232373694,-1.5117642913448393,2231.0
611,100,4,0.1,-3.3189630707114124,,0.7146666666666667,0.0,-1.0963487378617924,-1.5966454107882555,2583.0
673,100,5,0.01,-29.827358750792463,,0.7366666666666667,0.3625253111179418,-1.4140422601152467,-1.3759107746458223,1995.0
750,100,5,0.2,-64.8943072100459,,0.7483333333333333,0.0,-1.9288542016104813,-1.5056716113342872,2542.0
812,100,6,0.05,-45.10090508696406,,0.717,0.0,-1.4218243093699328,-1.4090396540002093,2506.0
874,100,6,0.2,-3.968806191274376,,0.7483333333333333,0.6856336688682674,-1.4580177203186306,-1.4672097294811957,2373.0
426,25,3,0.01,-3.8235642778157457,,0.2456666666666666,0.1905650128681702,-1.4874659510976516,-1.9986367430226764,136.0
488,25,3,0.1,25.65230615275553,,0.2823333333333333,0.0,-1.2066045149769349,-1.806665903163367,193.0
550,25,4,0.01,78.43052538097425,,0.274,0.1668861903120642,-1.3409329241370234,-2.5850492071727533,194.0
612,25,4,0.1,2.082313981868797,,0.2803333333333333,0.3750693233573632,-1.0164260654585524,-2.2952566853970184,238.0
674,25,5,0.01,-25.2216018569094,,0.2943333333333333,0.6413497024940654,-1.5549927530799068,-1.6712270602597024,134.0
751,25,5,0.2,-19.136262533696787,,0.2963333333333333,0.2216156103903168,-1.573753335450932,-1.584669079153083,246.0
813,25,6,0.05,-23.29512109554493,,0.293,0.5476180262804065,-1.162873532635801,-1.4501400717268689,126.0
875,25,6,0.2,-49.26458148457658,,0.283,0.7055720593189758,-1.2664202564246971,-1.9050898877365523,225.0
426,100,3,0.01,-3.8235642778157457,,0.6603333333333333,0.1045682389016337,0.0100967951861193,-1.7358845589580758,2223.0
488,100,3,0.1,25.65230615275553,,0.686,0.0,-0.715958307326277,-1.366246141278321,2081.0
550,100,4,0.01,78.43052538097425,,0.7,0.0,-1.0444638623004407,-1.475023196304902,2436.0
612,100,4,0.1,2.082313981868797,,0.7276666666666667,0.0,-1.325208886385102,-1.3793784426334257,2223.0
674,100,5,0.01,-25.2216018569094,,0.734,0.0,-1.363408385883009,-1.3407658183696838,2323.0
751,100,5,0.2,-19.136262533696787,,0.7126666666666667,0.6122505436033333,-1.4016082694733645,-1.5639101206556998,1970.0
813,100,6,0.05,-23.29512109554493,,0.743,0.0,-1.7143983880074771,-1.4013530724113914,2527.0
875,100,6,0.2,-49.26458148457658,,0.7493333333333333,0.4923074050130201,-1.8091581261970304,-1.4191084652374433,2251.0
427,25,3,0.01,-41.3525179488977,,0.2733333333333333,0.3938936698064714,-2.120845247311364,-1.8965239512308505,189.0
489,25,3,0.1,-5.530406551054341,,0.283,0.0,-0.6161434179553849,-1.7080503550783426,153.0
551,25,4,0.01,-12.598162870506057,,0.2813333333333333,0.4686431892445828,-1.87690174085424,-1.6247893882227928,110.0
613,25,4,0.1,-22.6348913684337,,0.2813333333333333,0.3930420165039901,-1.3107666656547214,-1.4457980897575735,138.0
690,25,5,0.05,19.46385767445848,,0.2723333333333333,0.0,-1.4262410805345025,-2.246851548518819,235.0
752,25,5,0.2,-8.878799685305857,,0.2846666666666667,0.4478761825284569,-1.417157863591224,-1.522809874148786,247.0
814,25,6,0.05,-47.9480359713048,,0.2963333333333333,0.0,-1.7540382710324576,-1.735690373403977,246.0
876,25,6,0.2,-71.87814112792898,,0.2786666666666667,0.8960896062907026,-1.7072225449813048,-1.663730482772214,163.0
