instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac
19,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.05439990456082608,0.0
83,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.053506121565079806,1.0
147,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,0.08716816969635198,1.0
211,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.3667664642782627,0.0
275,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.4635278857206623,1.0
369,colosseum,,d2-c1-n0.1-m9,2,0.1,9,,1.4450793517878724,3000,0.014347461287811378,0.1
493,colosseum,,d3-c1-n0.1-m13,3,0.1,13,,33.209975825617065,3000,-0.07761894870415031,0.0
632,colosseum,,d4-c1-n0.2-m2,4,0.2,2,,-24.04856054825175,3000,-0.11595483688665569,0.75
756,colosseum,,d5-c1-n0.2-m6,5,0.2,6,,-36.6631065153695,3000,0.006083954584958071,0.15
880,colosseum,,d6-c1-n0.2-m10,6,0.2,10,,76.14894406390464,3000,0.6084494848349473,0.0
