instance,err,name,dim,noise,m,ks_true,frac_t8_origin,frac_t8_mean,frac_t16_origin,frac_t16_mean
879,,d6-c1-n0.2-m9,6,0.2,9,-34.01810499140309,-0.625,-0.3041666666666666,-1.0,-0.9041666666666668
881,,d6-c1-n0.2-m11,6,0.2,11,-26.701955637154743,-0.375,-0.6833333333333333,-1.0,-0.9541666666666668
883,,d6-c1-n0.2-m13,6,0.2,13,-26.5858890924547,-1.0,-0.7916666666666666,-1.0,-0.7416666666666667
301,,d2-c1-n0.01-m1,2,0.01,1,24.29147882731491,-0.0,-0.0,-0.0,-0.0
303,,d2-c1-n0.01-m3,2,0.01,3,-1.704752151195842,-0.0,-0.0,-0.0,-0.0
305,,d2-c1-n0.01-m5,2,0.01,5,17.833593420006732,-0.0,-0.0,-0.0,-0.0041666666666666
307,,d2-c1-n0.01-m7,2,0.01,7,-4.119639039475162,-0.0,-0.0,-0.0,-0.0
309,,d2-c1-n0.01-m9,2,0.01,9,-8.930072585381469,-0.0,-0.0041666666666666,-0.0,-0.0041666666666666
311,,d2-c1-n0.01-m11,2,0.01,11,6.656586154585676,-0.0,-0.0,-0.0,-0.0
313,,d2-c1-n0.01-m13,2,0.01,13,-2.9443229796812918,-0.0,-0.0,-0.0,-0.0
330,,d2-c1-n0.05-m0,2,0.05,0,0.1641133119551789,-0.0,-0.0,-0.0,-0.0
332,,d2-c1-n0.05-m2,2,0.05,2,1.728836197424718,-0.0,-0.0,-0.0,-0.0
334,,d2-c1-n0.05-m4,2,0.05,4,5.496937541713086,-0.0,-0.0,-0.0,-0.0
336,,d2-c1-n0.05-m6,2,0.05,6,-2.880567788146728,-0.0,-0.0041666666666666,-0.0,-0.0083333333333333
338,,d2-c1-n0.05-m8,2,0.05,8,13.350834999027844,-0.0,-0.0,-0.0,-0.0
340,,d2-c1-n0.05-m10,2,0.05,10,-1.3523409226359646,-0.0,-0.0,-0.0,-0.0
342,,d2-c1-n0.05-m12,2,0.05,12,-19.350068753652508,-0.0,-0.0,-0.0,-0.0
344,,d2-c1-n0.05-m14,2,0.05,14,3.330936894367293,-0.0,-0.0041666666666666,-0.0,-0.0041666666666666
361,,d2-c1-n0.1-m1,2,0.1,1,9.449520693307583,-0.0,-0.0041666666666666,-0.0,-0.0041666666666666
363,,d2-c1-n0.1-m3,2,0.1,3,-0.1957350610295782,-0.0,-0.0,-0.0,-0.0
365,,d2-c1-n0.1-m5,2,0.1,5,11.08152312025702,-0.0,-0.0041666666666666,-0.0,-0.0041666666666666
367,,d2-c1-n0.1-m7,2,0.1,7,-1.4167534716119394,-0.0,-0.0125,-0.0,-0.0125
369,,d2-c1-n0.1-m9,2,0.1,9,1.4450793517878724,-0.0,-0.0041666666666666,-0.0,-0.0083333333333333
371,,d2-c1-n0.1-m11,2,0.1,11,-16.934696980264345,-0.0,-0.0083333333333333,-0.0,-0.0083333333333333
373,,d2-c1-n0.1-m13,2,0.1,13,1.219879741117918,-0.0,-0.0,-0.0,-0.0
390,,d2-c1-n0.2-m0,2,0.2,0,6.571277573877722,-0.0,-0.0041666666666666,-0.0,-0.0041666666666666
392,,d2-c1-n0.2-m2,2,0.2,2,0.5863070446801962,-0.0,-0.0041666666666666,-0.0,-0.0083333333333333
394,,d2-c1-n0.2-m4,2,0.2,4,-2.1599274912864,-0.0,-0.0,-0.0,-0.0166666666666666
396,,d2-c1-n0.2-m6,2,0.2,6,-19.90966868373765,-0.0,-0.0083333333333333,-0.0,-0.0166666666666666
398,,d2-c1-n0.2-m8,2,0.2,8,-3.912962490843667,-0.0,-0.0,-0.0,-0.0083333333333333
400,,d2-c1-n0.2-m10,2,0.2,10,4.735398380876656,-0.0,-0.0041666666666666,-0.0,-0.0166666666666666
402,,d2-c1-n0.2-m12,2,0.2,12,5.287646988969231,-0.0,-0.0125,-0.0,-0.0208333333333333
404,,d2-c1-n0.2-m14,2,0.2,14,2.4139725477943967,-0.0,-0.0125,-0.0,-0.025
421,,d3-c1-n0.01-m1,3,0.01,1,-7.415704083686769,-0.0,-0.0083333333333333,-0.375,-0.0416666666666666
423,,d3-c1-n0.01-m3,3,0.01,3,-4.375614595954051,-0.0,-0.0,-0.0,-0.0
425,,d3-c1-n0.01-m5,3,0.01,5,-6.077102370699984,-0.0,-0.0,-0.375,-0.0291666666666666
427,,d3-c1-n0.01-m7,3,0.01,7,-41.3525179488977,-0.0,-0.0,-0.0,-0.0
429,,d3-c1-n0.01-m9,3,0.01,9,-16.296502183721266,-0.0,-0.0,-0.0,-0.0041666666666666
431,,d3-c1-n0.01-m11,3,0.01,11,14.164580864957042,-0.0,-0.0,-0.0,-0.0166666666666666
433,,d3-c1-n0.01-m13,3,0.01,13,0.380085965305853,-0.625,-0.0208333333333333,-0.625,-0.025
