instance,graph,neighbor_scale,err,dim,noise,ks_true,s1,ent_t1,ent_t2,ent_t4,ent_t8,ent_t16,ent_t32
300,adaptive_k10,,,2,0.01,-4.073403328580132,0.1383213996887207,4.079497814178467,4.783441066741943,5.466302394866943,6.151838779449463,6.821212768554688,7.375741481781006
300,adaptive_k25,,,2,0.01,-4.073403328580132,0.2193121761083603,4.983609199523926,5.675638675689697,6.373162746429443,7.020880222320557,7.51638126373291,7.83108377456665
300,adaptive_k50,,,2,0.01,-4.073403328580132,0.298797070980072,5.632775783538818,6.370696544647217,7.034812927246094,7.529490947723389,7.8420257568359375,7.978838443756103
300,cak_40,1.3516387253811426,,2,0.01,-4.073403328580132,0.0202924702316522,1.3116021156311035,1.7529834508895874,2.235569715499878,2.7668685913085938,3.3681962490081787,4.059695243835449
300,cak_80,1.9497816733016264,,2,0.01,-4.073403328580132,0.0496884360909462,2.142564058303833,2.740731239318848,3.3891313076019287,4.098401546478272,4.803508758544922,5.450222015380859
300,cak_160,2.8207660160404147,,2,0.01,-4.073403328580132,0.0774061232805252,2.9456355571746826,3.6643238067626953,4.396399021148682,5.08662748336792,5.751611709594727,6.418786525726318
424,adaptive_k10,,,3,0.01,-4.175905001060452,0.3911173641681671,5.156142711639404,6.221163749694824,7.120341777801514,7.635104656219482,7.861874580383301,7.954334259033203
424,adaptive_k25,,,3,0.01,-4.175905001060452,0.5643970966339111,6.209386348724365,7.101426124572754,7.618348598480225,7.852388858795166,7.949636936187744,7.984106540679932
424,adaptive_k50,,,3,0.01,-4.175905001060452,0.7356141805648804,6.898277282714844,7.516062259674072,7.809947967529297,7.934568881988525,7.979617595672607,7.994635105133057
424,cak_40,0.8192823725712925,,3,0.01,-4.175905001060452,0.0332432612776756,1.0150526762008667,1.3489125967025757,1.7700741291046145,2.290212631225586,2.878877639770508,3.489455461502075
424,cak_80,1.0594207896808947,,3,0.01,-4.175905001060452,0.0682293772697448,1.643956422805786,2.2071292400360107,2.857699155807495,3.5706710815429688,4.327359676361084,5.144351482391357
424,cak_160,1.4042873695620002,,3,0.01,-4.175905001060452,0.1240422129631042,2.442817449569702,3.211542844772339,4.053289413452148,4.937991619110107,5.866854190826416,6.777211666107178
548,adaptive_k10,,,4,0.01,-37.35838600844277,0.9750814437866212,6.47939395904541,7.0985283851623535,7.449694156646728,7.676027774810791,7.830204963684082,7.926097393035889
548,adaptive_k25,,,4,0.01,-37.35838600844277,1.13691508769989,6.952319622039795,7.378869533538818,7.635806560516357,7.809486389160156,7.915863037109375,7.960516452789307
548,adaptive_k50,,,4,0.01,-37.35838600844277,1.247909426689148,7.194512844085693,7.538800239562988,7.753026485443115,7.88674783706665,7.951268196105957,7.96414041519165
548,cak_40,0.6131279360960105,,4,0.01,-37.35838600844277,0.0116338115185499,0.3098935186862945,0.4993492662906647,0.7582339644432068,1.084614396095276,1.4963436126708984,2.035858154296875
548,cak_80,0.757741860465265,,4,0.01,-37.35838600844277,0.0661494806408882,0.8467460870742798,1.3157899379730225,1.9343061447143557,2.7252814769744877,3.709198713302612,4.858493328094482
548,cak_160,0.9480692231452176,,4,0.01,-37.35838600844277,0.1939830482006073,1.896042227745056,2.8214471340179443,3.911409854888916,5.064225673675537,6.10264253616333,6.833986759185791
672,adaptive_k10,,,5,0.01,4.810311591502766,1.1953688859939575,6.9892425537109375,7.439939975738525,7.680365085601807,7.834658145904541,7.941655158996582,7.984185695648193
672,adaptive_k25,,,5,0.01,4.810311591502766,1.342031955718994,7.2807297706604,7.596807956695557,7.779731750488281,7.907606601715088,7.977951049804687,7.979484558105469
672,adaptive_k50,,,5,0.01,4.810311591502766,1.4236245155334473,7.422504425048828,7.685023784637451,7.845245361328125,7.952487945556641,7.988195896148682,7.977240085601807
672,cak_40,0.5090711971916086,,5,0.01,4.810311591502766,0.0222567003220319,0.3158531188964844,0.5307700037956238,0.8470742106437683,1.2718167304992676,1.8030853271484373,2.441047191619873
672,cak_80,0.6048290350083088,,5,0.01,4.810311591502766,0.0773290395736694,0.7991475462913513,1.2653595209121704,1.8780418634414675,2.625718593597412,3.498934268951416,4.455077648162842
672,cak_160,0.7213599578960774,,5,0.01,4.810311591502766,0.1816775500774383,1.583187460899353,2.3686654567718506,3.318807363510132,4.388429164886475,5.467508792877197,6.399912357330322
811,adaptive_k10,,,6,0.05,-48.29800862013458,1.487596035003662,7.2021026611328125,7.62090253829956,7.870503902435303,7.981889247894287,7.97274923324585,7.941497325897217
811,adaptive_k25,,,6,0.05,-48.29800862013458,1.610219120979309,7.416951656341553,7.765378475189209,7.947396755218506,7.987664699554443,7.964457035064697,7.957131862640381
811,adaptive_k50,,,6,0.05,-48.29800862013458,1.7088464498519895,7.559852123260498,7.8547563552856445,7.978099346160889,7.983618259429932,7.971261501312256,7.970582485198975
811,cak_40,0.4467357406185749,,6,0.05,-48.29800862013458,0.0180150605738163,0.2139527052640915,0.3698738217353821,0.6192869544029236,0.9899765253067015,1.4867255687713623,2.079150915145874
811,cak_80,0.5177123542813293,,6,0.05,-48.29800862013458,0.0687339156866073,0.5914468169212341,0.979647934436798,1.5371347665786743,2.249178171157837,3.0673282146453857,3.972091674804688
811,cak_160,0.6026680966650575,,6,0.05,-48.29800862013458,0.1804457008838653,1.3208743333816528,2.060002088546753,2.981323719024658,4.013126850128174,5.083817958831787,6.055360317230225
301,adaptive_k10,,,2,0.01,24.29147882731491,0.1402842402458191,3.884658575057984,4.64742374420166,5.372354030609131,6.011659145355225,6.577794075012207,7.057329654693604
301,adaptive_k25,,,2,0.01,24.29147882731491,0.2619672417640686,5.129930019378662,5.738707542419434,6.29092264175415,6.789943218231201,7.213756084442139,7.549113750457764
301,adaptive_k50,,,2,0.01,24.29147882731491,0.3536503314971924,5.733681678771973,6.301693916320801,6.802338600158691,7.227115154266357,7.560112953186035,7.785045623779297
