n_points,dim,rep,err,kappa_plus,frac,ent,t_ent
2000,2,15,,-0.015448489742521082,0.0,5.729745388031006,6
2000,3,17,,0.062225314932666226,1.0,5.1594624519348145,1
2000,4,19,,0.13512847142178883,1.0,6.528465270996094,1
2000,5,21,,0.2939018572384399,1.0,7.2244086265563965,1
2000,6,23,,0.4174377810438999,1.0,7.386363983154297,1
3000,2,25,,-0.006690698492624131,0.0,6.131240367889404,9
3000,3,27,,-0.04809564052105725,0.9375,5.0023088455200195,1
3000,4,29,,-0.41566438764548397,0.9875,6.414432048797607,1
3000,6,1,,0.20258099558524276,1.0,7.7789225578308105,1
