dataset,variant,ks_true,tau,orc,orc_std,orc_phys,spread,elapsed_s
plane,potential,0.0,87.25473403898154,0.31537605914992306,0.2081708298244557,0.0001984741488753506,64.14897754287021,143.6
plane,potential+dijkstra,0.0,109.18181228582645,0.07677080867259431,0.11732161771550866,1.2590064357798809e-05,213.8712593996358,145.7
plane,twonet+dijkstra,0.0,,0.014863408734346086,0.09905349448361934,-8.360322147029405e-07,178.6212510193524,148.2
sphere,potential,2.0,78.2253456113122,0.30417095955371715,0.16970830086269,0.00014495863850067856,53.85579708336999,141.8
sphere,potential+dijkstra,2.0,105.48443221964672,0.046971152474138717,0.09789790335847737,5.320558807148217e-06,177.32341052133833,143.9
sphere,twonet+dijkstra,2.0,,0.042130576047950466,0.04583685528329163,1.1151805920444157e-06,189.10999633649197,146.3
saddle,potential,-8.0,85.90520095890682,0.3832852006759628,0.18596831120086565,0.00021526839630348196,51.62184308521311,142.2
saddle,potential+dijkstra,-8.0,117.8941001901574,0.049690729984182065,0.12145223163547252,5.53188230009849e-06,192.89745252855766,144.3
saddle,twonet+dijkstra,-8.0,,0.008082377592998057,0.052426323554046965,-8.108618670432023e-08,181.5005316912715,146.8
