instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
16,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.050053499577432575,0.0,5.730273723602295,6
80,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.04229771789995772,1.0,5.165394306182861,1
144,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,0.0017336512970784895,1.0,6.7848663330078125,1
208,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.43371789093537133,0.0,6.587433815002441,1
272,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.472941466033641,1.0,7.433346748352051,1
366,colosseum,,d2-c1-n0.1-m6,2,0.1,6,,-3.606518083255943,3000,0.12685461379394078,0.0,5.567550182342529,2
490,colosseum,,d3-c1-n0.1-m10,3,0.1,10,,-20.614923975239662,3000,-0.04228701676412147,0.6125,5.621273040771484,1
614,colosseum,,d4-c1-n0.1-m14,4,0.1,14,,-12.13766082906188,3000,-0.0261317328857065,0.1375,6.785008430480957,1
753,colosseum,,d5-c1-n0.2-m3,5,0.2,3,,-27.36167081917381,3000,-0.6744597705920831,1.0,7.230776309967041,1
877,colosseum,,d6-c1-n0.2-m7,6,0.2,7,,-36.88598049578116,3000,-0.480198529520482,1.0,7.511773586273193,1
