instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
22,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.06416220272626164,0.025,5.618538856506348,5
86,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,0.020270908218408365,1.0,5.1568217277526855,1
150,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,-0.022848948229256358,1.0,6.799459934234619,1
214,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.35293009373108974,0.0,6.66229248046875,1
278,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.48340794298277573,1.0,7.42711877822876,1
372,colosseum,,d2-c1-n0.1-m12,2,0.1,12,,-0.6620962286516345,3000,-0.01530002080055444,0.0,6.1409478187561035,4
511,colosseum,,d3-c1-n0.2-m1,3,0.2,1,,-3.6664137289438203,3000,0.05954949122347296,0.15,5.991613864898682,1
635,colosseum,,d4-c1-n0.2-m5,4,0.2,5,,-39.185391024226476,3000,-0.3894625789063112,0.7875,6.803468227386475,1
759,colosseum,,d5-c1-n0.2-m9,5,0.2,9,,-18.937218744623642,3000,-0.08495684097513635,0.1,6.919249057769775,1
883,colosseum,,d6-c1-n0.2-m13,6,0.2,13,,-26.5858890924547,3000,-0.9833209481780365,0.95,7.5017595291137695,1
