instance,n_traj,traj_len,err,dim,noise,ks_true,coverage,tps,kappa_plus,frac,ent_cak_t2,ent_cak_t4,ent_cak_t8,frac_emp,ent_emp_t2,ent_emp_t4,ent_emp_t8,kappa_surp,frac_fb,ent_fb
420,10,50,,3,0.01,1.2257813837761642,0.105,1.62,-0.0385997829602246,0.0,3.2551419734954834,3.426077365875244,3.492327928543091,0.0,1.1912117004394531,1.7829736471176147,2.3629260063171387,0.6890065938792109,0.0,3.916025221347809
482,10,50,,3,0.1,-3.557038532205605,0.124,1.37,0.0742349227287841,0.0875,2.733553647994995,3.2829601764678955,3.793327808380127,0.0625,1.6645374298095703,2.145105361938477,2.3762121200561523,0.8020066365036232,0.30625,4.247230887413025
544,10,50,,4,0.01,-16.875471101588957,0.113,1.5,0.8364624359735344,0.8,2.339315176010132,3.1059672832489014,3.858341217041016,0.4,1.5589812994003296,2.142737865447998,2.780895233154297,-0.269872401589526,0.296875,4.144736170768738
606,10,50,,4,0.1,-27.860036231503933,0.12,1.42,-0.0705032487248507,0.125,2.499446392059326,2.8607661724090576,3.2653934955596924,0.125,1.380868434906006,1.9751288890838623,2.458650588989258,0.444917070526145,0.046875,4.166693568229675
668,10,50,,5,0.01,-28.42240351450837,0.127,1.34,0.6469786321389692,0.3,2.264864683151245,2.7545478343963623,3.301372528076172,0.25,0.8876773715019226,1.310628890991211,1.8838860988616943,-0.2026152995531422,0.7578125,4.494759917259216
730,10,50,,5,0.1,-67.17285898139227,0.119,1.42,0.942741548634762,0.8375,1.670813798904419,2.2005093097686768,2.7616097927093506,0.2222222222222222,1.4882915019989014,1.9744600057601929,2.364527702331543,0.1741948314470048,0.1197916666666666,4.351202487945557
792,10,50,,6,0.01,-38.33381100352402,0.131,1.29,0.6966100170095799,0.975,1.541680932044983,2.138593435287476,2.8270745277404785,0.0,0.627752423286438,0.9024393558502196,1.1948702335357666,0.4804687205637484,0.6640625,4.593584537506104
854,10,50,,6,0.1,-26.73210065400279,0.128,1.33,0.7248379039008124,0.4625,1.831045389175415,2.514322280883789,3.2418572902679443,0.0,1.306736946105957,1.6776131391525269,2.10334587097168,0.1675375586343744,0.4895833333333333,4.700537443161011
420,10,400,,3,0.01,1.2257813837761642,0.591,2.26,-0.0044666000820326,0.0,5.1661248207092285,5.931554317474365,6.5106964111328125,0.0,1.8491491079330444,2.9755301475524902,4.211028099060059,-0.101914526105784,0.53125,5.816224813461304
482,10,400,,3,0.1,-3.557038532205605,0.578,2.31,0.137964531488815,0.125,4.646938323974609,5.422840118408203,6.180171489715576,0.1428571428571428,2.4353692531585693,3.171083211898804,3.788162231445313,0.2039270231034973,0.49375,5.913235664367676
544,10,400,,4,0.01,-16.875471101588957,0.643,2.08,-0.0282822182459338,0.9125,4.960511207580566,6.061376094818115,6.80364465713501,0.1153846153846153,2.2354490756988525,3.0666654109954834,4.029181957244873,-0.1977124227014399,0.94375,6.0179762840271
606,10,400,,4,0.1,-27.860036231503933,0.597,2.24,0.109857896681556,0.0,4.480781555175781,5.492974281311035,6.322258472442627,0.1666666666666666,2.2085368633270264,3.131809949874878,3.9972808361053462,-0.2509575777825562,0.0,5.676714420318604
668,10,400,,5,0.01,-28.42240351450837,0.623,2.15,0.0895177371204106,1.0,4.373703002929688,5.486837863922119,6.3377604484558105,0.0833333333333333,1.5903505086898804,2.314459800720215,3.295156955718994,-0.5409202443243257,0.0,5.918735504150391
730,10,400,,5,0.1,-67.17285898139227,0.615,2.17,-0.5080766023043815,1.0,4.902541637420654,5.944995403289795,6.593848705291748,0.5172413793103449,2.7996203899383545,4.231777191162109,5.501924991607666,-0.0342376520436492,1.0,5.771554231643677
792,10,400,,6,0.01,-38.33381100352402,0.626,2.14,0.1389337396946741,1.0,4.504518032073975,5.600094795227051,6.402096748352051,0.2631578947368421,2.309486389160156,3.6119866371154794,4.937078952789307,-0.1506992106440876,0.15625,6.043724417686462
854,10,400,,6,0.1,-26.73210065400279,0.635,2.11,-0.2602518608042485,1.0,4.063622951507568,5.133666515350342,6.021972179412842,0.2,1.6865005493164062,2.683950424194336,4.025031089782715,-0.0632572545189873,0.78515625,5.923482179641724
