n_trajectories,manifold,tau,ks_hat_mean,ks_true,n_visited,err
500,16,0.3,-6.620932800292969,-4.499597219025709,2000,
500,16,0.5,-6.805830604076386,-4.499597219025709,2000,
500,17,0.2,-6.584751375198365,7.1679435744042586,2000,
500,17,0.3,-6.709012708187103,7.1679435744042586,2000,
500,17,0.5,-6.852516320943832,7.1679435744042586,2000,
500,18,0.2,-5.83618731546402,5.673359530031444,2000,
500,18,0.3,-6.02948585319519,5.673359530031444,2000,
500,18,0.5,-6.290820722579956,5.673359530031444,2000,
500,19,0.2,-6.087888301610946,5.550922179468609,2000,
500,19,0.3,-6.269361078977584,5.550922179468609,2000,
500,19,0.5,-6.5073383736610415,5.550922179468609,2000,
1000,0,0.2,-6.581697739124298,-17.664154673944296,2000,
1000,0,0.3,-6.706012388944626,-17.664154673944296,2000,
1000,0,0.5,-6.851457359552383,-17.664154673944296,2000,
1000,1,0.2,-6.403905912160873,-9.752893017945407,2000,
1000,1,0.3,-6.568324846982956,-9.752893017945407,2000,
1000,1,0.5,-6.774063958406448,-9.752893017945407,2000,
1000,2,0.2,-6.093352072834969,6.782030357207869,2000,
1000,2,0.3,-6.280279840946197,6.782030357207869,2000,
1000,2,0.5,-6.525892416000366,6.782030357207869,2000,
1000,3,0.2,-6.401609038352967,2.9099346852854566,2000,
1000,3,0.3,-6.559629050254822,2.9099346852854566,2000,
1000,3,0.5,-6.763187953233719,2.9099346852854566,2000,
1000,4,0.2,-5.80933531498909,-1.1117414400607863,2000,
1000,4,0.3,-6.008262455463409,-1.1117414400607863,2000,
1000,4,0.5,-6.274744597434998,-1.1117414400607863,2000,
1000,5,0.2,-6.386505090236664,-1.0741749613034777,2000,
1000,5,0.3,-6.558023845672607,-1.0741749613034777,2000,
1000,5,0.5,-6.770575509548188,-1.0741749613034777,2000,
1000,6,0.2,-6.537266329526902,-3.348655608211125,2000,
1000,6,0.3,-6.672807790279388,-3.348655608211125,2000,
1000,6,0.5,-6.8331344506740574,-3.348655608211125,2000,
1000,7,0.2,-5.870711612462998,-4.771754926468648,2000,
1000,7,0.3,-6.036512873411178,-4.771754926468648,2000,
1000,7,0.5,-6.252597856760025,-4.771754926468648,2000,
1000,8,0.2,-6.450100038766861,4.234469729385937,2000,
1000,8,0.3,-6.606767254829407,4.234469729385937,2000,
1000,8,0.5,-6.798760245323181,4.234469729385937,2000,
1000,9,0.2,-6.4538900847435,16.253215928506282,2000,
1000,9,0.3,-6.607876055240631,16.253215928506282,2000,
1000,9,0.5,-6.796956689119339,16.253215928506282,2000,
1000,10,0.2,-6.457121701478958,-1.4095182596702143,2000,
1000,10,0.3,-6.616025354385376,-1.4095182596702143,2000,
1000,10,0.5,-6.80501073050499,-1.4095182596702143,2000,
1000,11,0.2,-6.352220245838165,7.377026983785799,2000,
1000,11,0.3,-6.5121206176280975,7.377026983785799,2000,
1000,11,0.5,-6.716892358541489,7.377026983785799,2000,
1000,12,0.2,-5.814858503341675,-1.2518239035298682,2000,
1000,12,0.3,-6.0100659945011135,-1.2518239035298682,2000,
1000,12,0.5,-6.272440874814987,-1.2518239035298682,2000,
1000,13,0.2,-6.409793392658234,19.279142032357573,2000,
1000,13,0.3,-6.558567618608475,19.279142032357573,2000,
1000,13,0.5,-6.746521672725677,19.279142032357573,2000,
1000,14,0.2,-6.53231057715416,4.0408735225921735,2000,
1000,14,0.3,-6.670887761354447,4.0408735225921735,2000,
1000,14,0.5,-6.835115883588791,4.0408735225921735,2000,
1000,15,0.2,-6.386355906486512,-3.9127478258815174,2000,
1000,15,0.3,-6.535118583440781,-3.9127478258815174,2000,
1000,15,0.5,-6.728772808074951,-3.9127478258815174,2000,
1000,16,0.2,-6.504900412082672,-4.499597219025709,2000,
