instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac
7,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.05763441458312896,0.0
71,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.06612295537912868,0.975
135,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,0.11836682328462202,1.0
199,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.4219802126461517,0.0
263,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.47420196925405356,1.0
342,colosseum,,d2-c1-n0.05-m12,2,0.05,12,,-19.350068753652508,3000,-0.004000224299821137,0.0125
481,colosseum,,d3-c1-n0.1-m1,3,0.1,1,,-5.728772538116581,3000,-0.053466591447519085,0.35
605,colosseum,,d4-c1-n0.1-m5,4,0.1,5,,-15.198491523550626,3000,-0.10759075789400611,0.3375
729,colosseum,,d5-c1-n0.1-m9,5,0.1,9,,12.657273566920678,3000,-0.08904626803256377,0.025
853,colosseum,,d6-c1-n0.1-m13,6,0.1,13,,-28.918309978335518,3000,-0.16911616739968177,1.0
