dataset,instance,method,ks_hat,elapsed_s,fb_elapsed_s,err,name,dim,codim,noise,m,shape,ks_true
colosseum,167,successor_orc,0.951815934904279,5.09,187.82,,d2-c1-n0.2-m17,2,1,0.2,17,,3.340888625579088
colosseum,175,successor_entropy,-2.42918893720489,0.15,187.98,,d2-c1-n0.2-m25,2,1,0.2,25,,-1.7896059494275
colosseum,175,successor_orc,0.9501521879040001,4.88,187.98,,d2-c1-n0.2-m25,2,1,0.2,25,,-1.7896059494275
colosseum,183,successor_entropy,-2.1660986404667297,0.16,187.45,,d2-c1-n0.2-m33,2,1,0.2,33,,14.774713602579888
colosseum,183,successor_orc,0.9504416260409535,5.1,187.45,,d2-c1-n0.2-m33,2,1,0.2,33,,14.774713602579888
colosseum,191,successor_entropy,-2.1602028552393118,0.16,188.09,,d2-c1-n0.2-m41,2,1,0.2,41,,-3.7148871580611345
colosseum,191,successor_orc,0.9514753917587003,5.17,188.09,,d2-c1-n0.2-m41,2,1,0.2,41,,-3.7148871580611345
colosseum,199,successor_entropy,-2.079191898604234,0.16,188.17,,d2-c1-n0.2-m49,2,1,0.2,49,,-4.935912228429244
colosseum,199,successor_orc,0.9506642051939623,5.03,188.17,,d2-c1-n0.2-m49,2,1,0.2,49,,-4.935912228429244
colosseum,207,successor_entropy,-2.159508124043544,0.15,188.21,,d3-c1-n0.01-m7,3,1,0.01,7,,-26.746169405603474
colosseum,207,successor_orc,0.9493916384941921,5.14,188.21,,d3-c1-n0.01-m7,3,1,0.01,7,,-26.746169405603474
colosseum,215,successor_entropy,-1.90627009468774,0.16,188.02,,d3-c1-n0.01-m15,3,1,0.01,15,,62.19525956641489
colosseum,215,successor_orc,0.9475617231689633,5.01,188.02,,d3-c1-n0.01-m15,3,1,0.01,15,,62.19525956641489
colosseum,223,successor_entropy,-1.9923934051692487,0.16,188.01,,d3-c1-n0.01-m23,3,1,0.01,23,,2.238971115046788
colosseum,223,successor_orc,0.9467053782688302,5.02,188.01,,d3-c1-n0.01-m23,3,1,0.01,23,,2.238971115046788
colosseum,231,successor_entropy,-2.1082956051789226,0.16,187.91,,d3-c1-n0.01-m31,3,1,0.01,31,,15.008486867286097
colosseum,231,successor_orc,0.9486653256715526,5.14,187.91,,d3-c1-n0.01-m31,3,1,0.01,31,,15.008486867286097
colosseum,239,successor_entropy,-2.032175508187463,0.16,188.07,,d3-c1-n0.01-m39,3,1,0.01,39,,-9.378412345982563
colosseum,239,successor_orc,0.9475496701384096,5.04,188.07,,d3-c1-n0.01-m39,3,1,0.01,39,,-9.378412345982563
colosseum,247,successor_entropy,-2.0947936432038743,0.16,187.98,,d3-c1-n0.01-m47,3,1,0.01,47,,-16.339203123080313
colosseum,247,successor_orc,0.9468067043920243,5.27,187.98,,d3-c1-n0.01-m47,3,1,0.01,47,,-16.339203123080313
colosseum,255,successor_entropy,-2.059811457366993,0.17,187.92,,d3-c1-n0.05-m5,3,1,0.05,5,,-9.886085020682454
colosseum,255,successor_orc,0.950521173358352,5.17,187.92,,d3-c1-n0.05-m5,3,1,0.05,5,,-9.886085020682454
colosseum,263,successor_entropy,-2.1004745939771334,0.15,188.09,,d3-c1-n0.05-m13,3,1,0.05,13,,-30.78434040233857
colosseum,263,successor_orc,0.9481742761614634,4.85,188.09,,d3-c1-n0.05-m13,3,1,0.05,13,,-30.78434040233857
colosseum,271,successor_entropy,-2.0622155449415245,0.16,187.9,,d3-c1-n0.05-m21,3,1,0.05,21,,4.6732481028022175
colosseum,271,successor_orc,0.9498743515768162,5.14,187.9,,d3-c1-n0.05-m21,3,1,0.05,21,,4.6732481028022175
colosseum,279,successor_entropy,-2.0688047939538956,0.16,187.95,,d3-c1-n0.05-m29,3,1,0.05,29,,-1.9276132251021973
colosseum,279,successor_orc,0.9486925131096022,5.12,187.95,,d3-c1-n0.05-m29,3,1,0.05,29,,-1.9276132251021973
colosseum,287,successor_entropy,-2.0543030428017177,0.15,187.91,,d3-c1-n0.05-m37,3,1,0.05,37,,-3.5955885803736907
colosseum,287,successor_orc,0.9478279462247645,5.0,187.91,,d3-c1-n0.05-m37,3,1,0.05,37,,-3.5955885803736907
colosseum,295,successor_entropy,-2.042944512185951,0.16,188.34,,d3-c1-n0.05-m45,3,1,0.05,45,,-3.781092972288537
colosseum,295,successor_orc,0.9466509356395851,5.21,188.34,,d3-c1-n0.05-m45,3,1,0.05,45,,-3.781092972288537
colosseum,303,successor_entropy,-2.011706948886315,0.18,188.19,,d3-c1-n0.1-m3,3,1,0.1,3,,-2.5557572817893344
colosseum,303,successor_orc,0.9509532894486951,4.99,188.19,,d3-c1-n0.1-m3,3,1,0.1,3,,-2.5557572817893344
colosseum,311,successor_entropy,-2.072022912730773,0.16,188.13,,d3-c1-n0.1-m11,3,1,0.1,11,,0.5752074376787895
colosseum,311,successor_orc,0.950614152058434,5.01,188.13,,d3-c1-n0.1-m11,3,1,0.1,11,,0.5752074376787895
colosseum,319,successor_entropy,-2.0573063693866134,0.16,188.5,,d3-c1-n0.1-m19,3,1,0.1,19,,-0.6198427618247875
