n_points,dim,rep,err,kappa_plus,frac,ent,t_ent
2000,2,19,,0.009646085327019965,0.0,5.754087924957275,6
2000,3,21,,0.00648574742798895,1.0,5.21975040435791,1
2000,4,23,,0.017234557942976847,1.0,6.462661266326904,1
2000,5,25,,0.25418509645505444,1.0,7.280869960784912,1
2000,6,27,,0.5100792664095515,1.0,7.4274492263793945,1
3000,2,29,,-0.005823988714178177,0.0,6.139556407928467,9
3000,4,1,,-0.2662193215000763,1.0,6.6868896484375,1
3000,5,3,,0.1918079058580998,1.0,7.560958385467529,1
3000,6,5,,0.2432805087607447,1.0,7.769500732421875,1
