method,dim,codim,noise,spearman,sign_acc,n
hickock,4,1.0,0.01,0.2735654261704682,0.18,50
hickock,4,1.0,0.05,-0.0015846338535414166,0.24,50
hickock,4,1.0,0.1,0.16436974789915965,0.26,50
hickock,4,1.0,0.2,0.30036014405762307,0.18,50
hickock,5,1.0,0.01,-0.0008163265306122449,0.2,50
hickock,5,1.0,0.05,-0.05728691476590636,0.16,50
hickock,5,1.0,0.1,-0.15198079231692677,0.26,50
hickock,5,1.0,0.2,-0.010804321728691477,0.14,50
hickock,6,1.0,0.01,0.09771908763505403,0.22,50
hickock,6,1.0,0.05,0.05334933973589436,0.08,50
hickock,6,1.0,0.1,-0.030204081632653063,0.14,50
hickock,6,1.0,0.2,0.03817527010804322,0.06,50
laziness_adaptive_t5,2,1.0,0.0,0.05392557022809123,0.5,50
laziness_adaptive_t5,2,1.0,0.05,-0.037559704732957014,0.7291666666666666,50
laziness_adaptive_t5,2,1.0,0.1,0.07871028923660502,0.5945945945945946,50
laziness_adaptive_t5,2,1.0,0.2,0.17875770507349453,0.7837837837837838,50
laziness_adaptive_t5,3,1.0,0.01,0.26447094868147497,0.7105263157894737,50
laziness_adaptive_t5,3,1.0,0.05,0.0042674253200568986,0.8157894736842105,50
laziness_adaptive_t5,3,1.0,0.1,0.37980085348506404,0.7297297297297297,50
laziness_adaptive_t5,3,1.0,0.2,0.18587008060692267,0.6756756756756757,50
laziness_adaptive_t5,4,1.0,0.01,0.39358791990370934,0.7631578947368421,50
laziness_adaptive_t5,4,1.0,0.05,0.5907648539227487,0.7368421052631579,50
laziness_adaptive_t5,4,1.0,0.1,0.2297297297297297,0.7027027027027027,50
laziness_adaptive_t5,4,1.0,0.2,0.09720246562351824,0.8378378378378378,50
laziness_adaptive_t5,5,1.0,0.01,0.16533537586169164,0.8421052631578947,50
laziness_adaptive_t5,5,1.0,0.05,0.312859573778462,0.8333333333333334,50
laziness_adaptive_t5,5,1.0,0.1,0.16377730796335446,0.75,50
laziness_adaptive_t5,5,1.0,0.2,0.28903654485049834,0.8372093023255814,50
laziness_adaptive_t5,6,1.0,0.01,0.519661733615222,0.7954545454545454,50
laziness_adaptive_t5,6,1.0,0.05,0.10796335447498237,0.9318181818181818,50
laziness_adaptive_t5,6,1.0,0.1,0.337984496124031,0.8636363636363636,50
laziness_adaptive_t5,6,1.0,0.2,0.1386288130474177,0.9302325581395349,50
laziness_knn_t5,2,1.0,0.0,0.05411764705882353,0.5,50
laziness_knn_t5,2,1.0,0.05,0.037559704732957014,0.7291666666666666,50
laziness_knn_t5,2,1.0,0.1,0.0388809862494073,0.5945945945945946,50
laziness_knn_t5,2,1.0,0.2,0.19559032716927452,0.7837837837837838,50
laziness_knn_t5,3,1.0,0.01,0.30364372469635625,0.7105263157894737,50
laziness_knn_t5,3,1.0,0.05,0.03971988182514498,0.8157894736842105,50
laziness_knn_t5,3,1.0,0.1,0.3565670934091987,0.7297297297297297,50
laziness_knn_t5,3,1.0,0.2,0.2041251778093883,0.6756756756756757,50
laziness_knn_t5,4,1.0,0.01,0.4045300361089834,0.7631578947368421,50
laziness_knn_t5,4,1.0,0.05,0.5601269285479812,0.7368421052631579,50
laziness_knn_t5,4,1.0,0.1,0.2117117117117117,0.7027027027027027,50
laziness_knn_t5,4,1.0,0.2,0.13205310573731624,0.8378378378378378,50
laziness_knn_t5,5,1.0,0.01,0.14104387788598313,0.8421052631578947,50
laziness_knn_t5,5,1.0,0.05,0.2990843529697756,0.8333333333333334,50
laziness_knn_t5,5,1.0,0.1,0.1778717406624383,0.75,50
laziness_knn_t5,5,1.0,0.2,0.30836605255209903,0.8372093023255814,50
laziness_knn_t5,6,1.0,0.01,0.509090909090909,0.7954545454545454,50
laziness_knn_t5,6,1.0,0.05,0.13389711064129667,0.9318181818181818,50
laziness_knn_t5,6,1.0,0.1,0.3747709654686399,0.8636363636363636,50
laziness_knn_t5,6,1.0,0.2,0.1386288130474177,0.9302325581395349,50
orc,2,1.0,0.0,-0.04969987995198079,0.46,50
orc,2,1.0,0.05,0.02895558223289316,0.4,50
orc,2,1.0,0.1,0.020888355342136854,0.54,50
orc,2,1.0,0.2,0.06151260504201681,0.76,50
orc,3,1.0,0.01,0.27260504201680674,0.66,50
orc,3,1.0,0.05,-0.055078031212484994,0.8,50
orc,3,1.0,0.1,-0.03865546218487395,0.6,50
orc,3,1.0,0.2,0.13728691476590635,0.74,50
orc,4,1.0,0.01,0.15034813925570228,0.84,50
orc,4,1.0,0.05,0.283265306122449,0.76,50
orc,4,1.0,0.1,-0.05517406962785113,0.7,50
orc,4,1.0,0.2,0.09262905162064825,0.8,50
orc,5,1.0,0.01,0.0844657863145258,0.8,50
orc,5,1.0,0.05,0.13517406962785114,0.84,50
orc,5,1.0,0.1,-0.08552220888355341,0.74,50
orc,5,1.0,0.2,-0.014261704681872748,0.86,50
orc,6,1.0,0.01,0.17608643457382953,0.78,50
orc,6,1.0,0.05,-0.17819927971188473,0.92,50
orc,6,1.0,0.1,0.2113325330132053,0.86,50
orc,6,1.0,0.2,0.11625450180072029,0.94,50
spc_diffusion_t5,2,1.0,0.0,-0.06410564225690277,0.5,50
spc_diffusion_t5,2,1.0,0.05,-0.21267707082833132,0.46,50
spc_diffusion_t5,2,1.0,0.1,-0.04854741896758703,0.5,50
spc_diffusion_t5,2,1.0,0.2,-0.17848739495798316,0.58,50
spc_diffusion_t5,3,1.0,0.01,0.34136854741896755,0.64,50
spc_diffusion_t5,3,1.0,0.05,0.14948379351740695,0.72,50
spc_diffusion_t5,3,1.0,0.1,0.031068427370948382,0.5,50
spc_diffusion_t5,3,1.0,0.2,0.14737094837935172,0.66,50
spc_diffusion_t5,4,1.0,0.01,,,50
spc_diffusion_t5,4,1.0,0.05,,,50
spc_diffusion_t5,4,1.0,0.1,,,50
spc_diffusion_t5,4,1.0,0.2,,,50
spc_diffusion_t5,5,1.0,0.01,,,50
spc_diffusion_t5,5,1.0,0.05,,,50
spc_diffusion_t5,5,1.0,0.1,,,50
spc_diffusion_t5,5,1.0,0.2,,,50
spc_diffusion_t5,6,1.0,0.01,,,50
spc_diffusion_t5,6,1.0,0.05,,,50
spc_diffusion_t5,6,1.0,0.1,,,50
spc_diffusion_t5,6,1.0,0.2,,,50
spc_hop,2,1.0,0.0,0.3785354141656663,0.68,50
spc_hop,2,1.0,0.05,-0.05901560624249699,0.48,50
spc_hop,2,1.0,0.1,0.020600240096038412,0.54,50
spc_hop,2,1.0,0.2,-0.24504201680672266,0.46,50
spc_hop,3,1.0,0.01,0.2703001200480192,0.66,50
spc_hop,3,1.0,0.05,0.1402641056422569,0.56,50
spc_hop,3,1.0,0.1,-0.169171668667467,0.44,50
spc_hop,3,1.0,0.2,0.06602641056422569,0.5,50
spc_hop,4,1.0,0.01,,,50
spc_hop,4,1.0,0.05,,,50
spc_hop,4,1.0,0.1,,,50
spc_hop,4,1.0,0.2,,,50
spc_hop,5,1.0,0.01,,,50
spc_hop,5,1.0,0.05,,,50
spc_hop,5,1.0,0.1,,,50
spc_hop,5,1.0,0.2,,,50
spc_hop,6,1.0,0.01,,,50
spc_hop,6,1.0,0.05,,,50
spc_hop,6,1.0,0.1,,,50
spc_hop,6,1.0,0.2,,,50
successor_entropy,2,1.0,0.01,0.8448979591836735,0.68,50
successor_entropy,2,1.0,0.05,0.6497478991596638,0.54,50
successor_entropy,2,1.0,0.1,0.7339735894357742,0.6,50
successor_entropy,2,1.0,0.2,0.1644657863145258,0.54,50
successor_entropy,3,1.0,0.01,0.6234333733493397,0.76,50
successor_entropy,3,1.0,0.05,0.7138055222088835,0.8,50
successor_entropy,3,1.0,0.1,0.6968067226890755,0.76,50
successor_entropy,3,1.0,0.2,0.7019927971188475,0.78,50
successor_entropy,4,1.0,0.01,0.38957983193277307,0.82,50
successor_entropy,4,1.0,0.05,0.38938775510204077,0.9,50
successor_entropy,4,1.0,0.1,0.5233613445378151,0.72,50
successor_entropy,4,1.0,0.2,0.4325090036014405,0.82,50
successor_entropy,5,1.0,0.01,0.6253541416566627,0.78,50
successor_entropy,5,1.0,0.05,0.28989195678271307,0.84,50
successor_entropy,5,1.0,0.1,0.5345018007202881,0.86,50
successor_entropy,5,1.0,0.2,0.3218727490996398,0.88,50
successor_entropy,6,1.0,0.01,0.46122448979591835,0.88,50
successor_entropy,6,1.0,0.05,0.5735894357743098,0.82,50
successor_entropy,6,1.0,0.1,0.5611044417767107,0.78,50
successor_entropy,6,1.0,0.2,0.5046338535414165,0.88,50
successor_orc,2,1.0,0.01,-0.29478991596638654,0.32,50
successor_orc,2,1.0,0.05,-0.29536614645858345,0.46,50
successor_orc,2,1.0,0.1,-0.535750300120048,0.4,50
successor_orc,2,1.0,0.2,-0.1811764705882353,0.46,50
successor_orc,3,1.0,0.01,-0.09637454981992796,0.24,50
successor_orc,3,1.0,0.05,-0.4600720288115246,0.2,50
successor_orc,3,1.0,0.1,-0.38727490996398556,0.24,50
successor_orc,3,1.0,0.2,-0.05939975990396158,0.22,50
successor_orc,4,1.0,0.01,0.053061224489795916,0.18,50
successor_orc,4,1.0,0.05,-0.28220888355342133,0.1,50
successor_orc,4,1.0,0.1,-0.5413205282112845,0.28,50
successor_orc,4,1.0,0.2,-0.2568547418967587,0.18,50
successor_orc,5,1.0,0.01,0.024057623049219684,0.22,50
successor_orc,5,1.0,0.05,-0.22948379351740697,0.16,50
successor_orc,5,1.0,0.1,-0.2896998799519808,0.14,50
successor_orc,5,1.0,0.2,-0.3158223289315726,0.12,50
successor_orc,6,1.0,0.01,0.08283313325330133,0.12,50
successor_orc,6,1.0,0.05,-0.08014405762304923,0.18,50
successor_orc,6,1.0,0.1,0.0028331332533013207,0.22,50
successor_orc,6,1.0,0.2,-0.22746698679471786,0.12,50
