n_points,dim,rep,err,kappa_plus,frac,ent,t_ent
2000,2,0,,0.02190740287740099,0.0,5.785988807678223,6
2000,3,2,,0.01722856479055794,1.0,4.992006778717041,1
2000,4,4,,0.1444915892550763,0.9875,6.607341766357422,1
2000,5,6,,0.27223682048637055,1.0,7.292970180511475,1
2000,6,8,,0.4347765400890983,1.0,7.413185119628906,1
3000,2,10,,-0.0015809273459832518,0.3875,6.023041725158691,6
3000,3,12,,-0.047233701814511586,0.9125,4.913292407989502,1
3000,4,14,,0.014019667552284606,0.95,6.589763164520264,1
3000,5,16,,0.24469181669462164,1.0,7.478437900543213,1
3000,6,18,,0.11935995685223962,1.0,7.768413066864014,1
