instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac
17,sadspheres,,2-Plane,2,0.0,,Plane,0.0,2000,0.002186154319699915,0.0
81,sadspheres,,3-Saddle,3,0.0,,Saddle,-8.0,2000,-0.05569052327596134,0.9625
145,sadspheres,,4-Sphere,4,0.0,,Sphere,2.0,2000,0.336243377299587,0.0
209,sadspheres,,5-Plane,5,0.0,,Plane,0.0,2000,0.16558009199965434,1.0
273,sadspheres,,6-Saddle,6,0.0,,Saddle,-24.0,2000,0.5279331739560651,1.0
367,colosseum,,d2-c1-n0.1-m7,2,0.1,7,,-1.4167534716119394,3000,-0.03371949087475354,0.0
491,colosseum,,d3-c1-n0.1-m11,3,0.1,11,,-13.136520272342572,3000,0.06790905245724961,0.1
630,colosseum,,d4-c1-n0.2-m0,4,0.2,0,,-3.558579726048665,3000,-0.19994794997984278,0.0125
754,colosseum,,d5-c1-n0.2-m4,5,0.2,4,,-4.9467688164392065,3000,-0.34760705167456746,0.675
878,colosseum,,d6-c1-n0.2-m8,6,0.2,8,,-31.989859416126716,3000,-0.787637877003543,1.0
