dataset,instance,method,ks_hat,elapsed_s,fb_elapsed_s,err,name,dim,codim,noise,m,shape,ks_true
colosseum,92,dc2,-0.9597678184509277,9.52,,,d2-c1-n0.05-m42,2,1,0.05,42,,-3.9188929760071822
colosseum,92,dc_wasserstein_ollivier,0.20115739107131958,6.46,,,d2-c1-n0.05-m42,2,1,0.05,42,,-3.9188929760071822
colosseum,92,dc_entropic_subtraction,0.006388187408447266,3.87,,,d2-c1-n0.05-m42,2,1,0.05,42,,-3.9188929760071822
colosseum,92,hickock,-0.5551470564391117,28.46,,,d2-c1-n0.05-m42,2,1,0.05,42,,-3.9188929760071822
colosseum,92,orc,0.029641537957670702,4.36,,,d2-c1-n0.05-m42,2,1,0.05,42,,-3.9188929760071822
colosseum,92,spc_hop,1543.9374188271975,779.61,,,d2-c1-n0.05-m42,2,1,0.05,42,,-3.9188929760071822
colosseum,92,spc_diffusion_t5,-226.39859740513813,512.36,,,d2-c1-n0.05-m42,2,1,0.05,42,,-3.9188929760071822
colosseum,92,laziness_knn_t5,-4.201920509338379,0.62,,,d2-c1-n0.05-m42,2,1,0.05,42,,-3.9188929760071822
colosseum,92,laziness_adaptive_t5,-4.130520820617676,0.76,,,d2-c1-n0.05-m42,2,1,0.05,42,,-3.9188929760071822
colosseum,92,successor_entropy,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.05-m42,2,1,0.05,42,,-3.9188929760071822
colosseum,92,successor_orc,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.05-m42,2,1,0.05,42,,-3.9188929760071822
colosseum,100,dc2,-1.0389686822891235,4.62,,,d2-c1-n0.1-m0,2,1,0.1,0,,4.777408513354523
colosseum,100,dc_wasserstein_ollivier,0.2911784052848816,3.76,,,d2-c1-n0.1-m0,2,1,0.1,0,,4.777408513354523
colosseum,100,dc_entropic_subtraction,0.057143211364746094,1.59,,,d2-c1-n0.1-m0,2,1,0.1,0,,4.777408513354523
colosseum,100,hickock,-5.602988781255763,26.9,,,d2-c1-n0.1-m0,2,1,0.1,0,,4.777408513354523
colosseum,100,orc,-0.05846267783303783,4.82,,,d2-c1-n0.1-m0,2,1,0.1,0,,4.777408513354523
colosseum,100,spc_hop,-7.917250119083578,740.34,,,d2-c1-n0.1-m0,2,1,0.1,0,,4.777408513354523
colosseum,100,spc_diffusion_t5,-68.52032493877884,440.49,,,d2-c1-n0.1-m0,2,1,0.1,0,,4.777408513354523
colosseum,100,laziness_knn_t5,-4.648530960083008,0.2,,,d2-c1-n0.1-m0,2,1,0.1,0,,4.777408513354523
colosseum,100,laziness_adaptive_t5,-4.594091415405273,0.28,,,d2-c1-n0.1-m0,2,1,0.1,0,,4.777408513354523
colosseum,100,successor_entropy,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.1-m0,2,1,0.1,0,,4.777408513354523
colosseum,100,successor_orc,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.1-m0,2,1,0.1,0,,4.777408513354523
colosseum,108,dc2,-0.3304818868637085,4.99,,,d2-c1-n0.1-m8,2,1,0.1,8,,-0.48423137041385556
colosseum,108,dc_wasserstein_ollivier,0.2800520658493042,6.08,,,d2-c1-n0.1-m8,2,1,0.1,8,,-0.48423137041385556
colosseum,108,dc_entropic_subtraction,-0.12487602233886719,1.88,,,d2-c1-n0.1-m8,2,1,0.1,8,,-0.48423137041385556
colosseum,108,hickock,-5.860512423140683,31.49,,,d2-c1-n0.1-m8,2,1,0.1,8,,-0.48423137041385556
colosseum,108,orc,0.018040849920115665,5.3,,,d2-c1-n0.1-m8,2,1,0.1,8,,-0.48423137041385556
colosseum,108,spc_hop,-8.400081597353799,812.96,,,d2-c1-n0.1-m8,2,1,0.1,8,,-0.48423137041385556
colosseum,108,spc_diffusion_t5,-698.9940705544101,444.08,,,d2-c1-n0.1-m8,2,1,0.1,8,,-0.48423137041385556
colosseum,108,laziness_knn_t5,-4.452180862426758,0.16,,,d2-c1-n0.1-m8,2,1,0.1,8,,-0.48423137041385556
colosseum,108,laziness_adaptive_t5,-4.423520088195801,0.96,,,d2-c1-n0.1-m8,2,1,0.1,8,,-0.48423137041385556
colosseum,108,successor_entropy,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.1-m8,2,1,0.1,8,,-0.48423137041385556
colosseum,108,successor_orc,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.1-m8,2,1,0.1,8,,-0.48423137041385556
colosseum,116,dc2,-1.094933032989502,7.42,,,d2-c1-n0.1-m16,2,1,0.1,16,,-8.268209997418776
colosseum,116,dc_wasserstein_ollivier,0.12936371564865112,9.53,,,d2-c1-n0.1-m16,2,1,0.1,16,,-8.268209997418776
colosseum,116,dc_entropic_subtraction,-0.39173269271850586,4.57,,,d2-c1-n0.1-m16,2,1,0.1,16,,-8.268209997418776
colosseum,116,hickock,-7.831856824212286,30.59,,,d2-c1-n0.1-m16,2,1,0.1,16,,-8.268209997418776
colosseum,116,orc,-0.17920200125838184,5.13,,,d2-c1-n0.1-m16,2,1,0.1,16,,-8.268209997418776
colosseum,116,spc_hop,-119.11965310784375,645.93,,,d2-c1-n0.1-m16,2,1,0.1,16,,-8.268209997418776
colosseum,116,spc_diffusion_t5,17.965244964827306,375.76,,,d2-c1-n0.1-m16,2,1,0.1,16,,-8.268209997418776
colosseum,116,laziness_knn_t5,-4.651430130004883,0.13,,,d2-c1-n0.1-m16,2,1,0.1,16,,-8.268209997418776
colosseum,116,laziness_adaptive_t5,-4.609521865844727,1.45,,,d2-c1-n0.1-m16,2,1,0.1,16,,-8.268209997418776
colosseum,116,successor_entropy,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.1-m16,2,1,0.1,16,,-8.268209997418776
colosseum,116,successor_orc,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.1-m16,2,1,0.1,16,,-8.268209997418776
colosseum,124,dc2,-0.7799196243286133,4.03,,,d2-c1-n0.1-m24,2,1,0.1,24,,-4.911101694134647
colosseum,124,dc_wasserstein_ollivier,0.17330914735794067,8.13,,,d2-c1-n0.1-m24,2,1,0.1,24,,-4.911101694134647
colosseum,124,dc_entropic_subtraction,-0.22740888595581055,4.66,,,d2-c1-n0.1-m24,2,1,0.1,24,,-4.911101694134647
colosseum,124,hickock,-8.457370326842495,28.45,,,d2-c1-n0.1-m24,2,1,0.1,24,,-4.911101694134647
colosseum,124,orc,0.10283606172004821,3.72,,,d2-c1-n0.1-m24,2,1,0.1,24,,-4.911101694134647
colosseum,124,spc_hop,48.50541271366903,568.81,,,d2-c1-n0.1-m24,2,1,0.1,24,,-4.911101694134647
colosseum,124,spc_diffusion_t5,648.5594610877489,729.36,,,d2-c1-n0.1-m24,2,1,0.1,24,,-4.911101694134647
colosseum,124,laziness_knn_t5,-4.242959022521973,0.19,,,d2-c1-n0.1-m24,2,1,0.1,24,,-4.911101694134647
colosseum,124,laziness_adaptive_t5,-4.1352972984313965,1.96,,,d2-c1-n0.1-m24,2,1,0.1,24,,-4.911101694134647
colosseum,124,successor_entropy,,0.0,0.0,diffusion_curvature.successor.train.FBTrainer() got multiple values for keyword argument 'batch_size',d2-c1-n0.1-m24,2,1,0.1,24,,-4.911101694134647
