instance,dim,noise,ks_true,err,mix_ent,mix_ent_all,V_anchor,n_goals
420,3,0.01,1.2257813837761642,,0.2745029032230377,0.4187995493412018,1.864495549995656,12
544,4,0.01,-16.875471101588957,,0.5138470530509949,0.6127806901931763,2.1891523684301006,12
668,5,0.01,-28.42240351450837,,0.8570960760116577,0.809709906578064,2.218049548965067,12
792,6,0.01,-38.33381100352402,,1.0031150579452517,0.9549544453620912,3.167942599389157,12
421,3,0.01,-7.415704083686769,,1.0544649362564087,0.8177661895751953,2.203124329804268,12
545,4,0.01,-25.421391317475663,,0.1572079360485077,0.3085833787918091,3.669726599850008,12
669,5,0.01,-18.319930087521648,,0.0629005804657936,0.4253696799278259,3.4257939223506395,12
793,6,0.01,-76.44652684559905,,1.047441840171814,0.7586350440979004,5.594757585336165,12
430,3,0.01,-16.842236690951605,,0.3956617712974548,0.4068619608879089,1.3812634785579472,12
554,4,0.01,-4.503402761482203,,0.6568260192871094,0.7530182600021362,1.4068405282112022,12
693,5,0.05,-16.703636368602854,,1.132472276687622,1.0438920259475708,2.5101856957129254,12
817,6,0.05,-12.910662028844692,,0.996634840965271,0.9278640747070312,4.3142357924435295,12
431,3,0.01,14.164580864957042,,0.0045673474669456,0.1318963468074798,2.4008520491586287,12
570,4,0.05,-1.0376935627011612,,0.9044383764266968,0.8814638257026672,3.028734198056669,12
694,5,0.05,54.88132514320018,,0.7039492130279541,1.1074278354644775,3.094150662691268,12
818,6,0.05,-41.17873865452874,,0.9198832511901855,0.8284058570861816,4.779421356686521,12
432,3,0.01,-15.026763600360248,,0.6384905576705933,0.7818992733955383,3.8177641669014606,12
571,4,0.05,-39.90075492062513,,0.1305594444274902,0.3216942846775055,2.76319664499103,12
695,5,0.05,-28.646174109828085,,1.02284836769104,1.0319405794143677,3.040919507275336,12
819,6,0.05,18.013705493536783,,1.4605997800827026,1.207767128944397,5.44661583343683,12
433,3,0.01,0.380085965305853,,0.6725432276725769,0.4878146052360534,1.64234032703262,12
572,4,0.05,-16.09270414189458,,0.6323806643486023,0.5272921323776245,3.206339853669217,12
696,5,0.05,-11.136468161274196,,1.4724745750427246,1.2290979623794556,2.4000683519307104,12
820,6,0.05,-44.84909729317228,,1.3804832696914673,1.110545039176941,4.965977450226979,12
434,3,0.01,1.6301777294930675,,0.5252713561058044,0.3972997665405273,1.7226433479541592,12
573,4,0.05,-30.16895284318092,,1.2327499389648438,0.9935933351516724,3.588345822488695,12
697,5,0.05,-19.7446786444012,,1.2080271244049072,1.1444810628890991,2.806995947258089,12
821,6,0.05,-58.89777561628494,,1.134765863418579,1.1938869953155518,5.988784235126592,12
450,3,0.05,-24.89523765054504,,0.2792547941207886,0.3310194015502929,3.488763456829883,12
574,4,0.05,-17.091759926410464,,1.1330890655517578,1.1067224740982056,3.650574738740966,12
698,5,0.05,-14.507889827778769,,0.7752526998519897,0.9124574661254884,2.7070580893860803,12
822,6,0.05,-7.917380679276863,,0.6518732309341431,0.6831739544868469,3.086646075474613,12
451,3,0.05,-12.659383196182684,,0.3634016513824463,0.4583756923675537,2.2667005653192605,12
575,4,0.05,-31.28121797229592,,0.6538575291633606,0.6811987161636353,3.1631684951360537,12
