n_points,dim,rep,err,kappa_plus,frac
2000,3,0,,-0.015031387740915697,0.975
2000,4,2,,0.024707672394744182,0.9875
2000,5,4,,0.3486382683423757,1.0
2000,6,6,,0.4439296916506696,1.0
3000,2,8,,-0.017343803483636497,0.0
3000,3,10,,-0.07691837272185645,0.975
3000,4,12,,-0.033000652591761964,0.9875
3000,5,14,,0.25575391229134614,1.0
3000,6,16,,0.1893734656104064,1.0
