n_points,dim,rep,err,kappa_plus,frac,ent,t_ent
2000,3,0,,-0.015031387740915697,0.975,5.207642555236816,1
2000,4,2,,0.024707672394744182,0.9875,6.592418193817139,1
2000,5,4,,0.3486382683423757,1.0,7.2596588134765625,1
2000,6,6,,0.4439296916506696,1.0,7.39458703994751,1
3000,2,8,,-0.017343803483636497,0.0,6.168855667114258,9
3000,3,10,,-0.07691837272185645,0.975,5.043078899383545,1
3000,4,12,,-0.033000652591761964,0.9875,6.601223945617676,1
3000,5,14,,0.25575391229134614,1.0,7.474984645843506,1
3000,6,16,,0.1893734656104064,1.0,7.768109321594238,1
